ID,Text
1,وينك يا خوي، شلونك اليوم؟  
2,صاير للجو حار موت، الله يساعدنا.  
3,عاشت إيدك على الأكلة، طيبة موت!  
4,تعال شوف شغلي الجديد، يعجبك.  
5,بكرة عندي شغل، ما أقدر أطلع.  
6,يلا نروح نتمشى شوية بعد العشا.  
7,هذا السوق زحمة، نشتري من وين؟  
8,تريد شاي ولا قهوة؟  
9,تعال نلعب شدة، شنو رأيك؟  
10,أنت عارف، الحياة صعبة، بس نعيش.  
11,الحمد لله على كل حال، والله كريم.  
12,وين راحت البنت، ما شفتها اليوم؟  
13,عندي خبر حلو، لازم تسمع!  
14,يلا، خلينا نسوي كيك ونجتمع.  
15,شفت أخوك بالشارع، كان طالع زعلان.  
16,البارحة رحت للمناسبه، كانت حلوة.  
17,ليش متأخر، وين كنت؟  
18,ماكو مثلك يا صديقي، الله يحفظك.  
19,أحب أروح الكورنيش، الجو هناك زين.  
20,شغلت الفلم اللي تحبه، تعال شوف.  
21,هذا الغداء مميز، اجربه.  
22,شفت المباراة؟ والله كانت مثيرة!  
23,لا تنسى تجيب لي هدية من السوق.  
24,الحياة حلوة، بس تحتاج صبر.  
25,وين نروح اليوم، عندك فكرة؟  
26,أحب أسمع أغاني قديمة، تذكرها؟  
27,هذا المحل يسوي أحلى شاورما، لازم نجرب.  
28,شوفتك مع البنت، شنو القصة؟  
29,اليوم الجو غيم، يمكن تمطر.  
30,لا تنسى تسأل عن صحتهم، مهم.  
31,كلشي تمام، بس محتاج قهوة.  
32,هالحياة تجيب الضحك والدموع، صح؟  
33,دائماً أقول، الأصدقاء هم العائلة.  
34,تعال نروح الشارع الفلاني، فيه حلوات.  
35,أحب أزور الأماكن القديمة، فيها تاريخ.  
36,ليش مختفي، كلش ما شفتك؟  
37,شفت شغلي الجديد؟ إن شاء الله يعجبك.  
38,هذا الموسم أفضل من اللي قبله، شرايك؟  
39,أنت قاعد تتأخر، شنو السبب؟  
40,الأكل عندهم طيب، بس غالي.  
41,ما أدري شلون أقول لك، بس أنت مهم.  
42,الولد صار كبير، شنو صار له؟  
43,أحب أروح المول، فيه كلشي.  
44,هذا الشارع زين، فيه حيوية.  
45,كل يوم أتعلم شغلة جديدة، الحياة مدرسة.  
46,ليش ما تجيب عائلتك معك؟  
47,العب مع الأطفال، هم يفرحون.  
48,الأيام تمر بسرعة، لازم نستغلها.  
49,هذا المحل عنده خصم، لازم نشتري.  
50,أشوفك ضايج، شنو اللي مضايقك؟  
51,إحنا جيران، لازم نساعد بعض.  
52,تذكر أيام المدرسة، كانت حلوة.  
53,عندي موعد، لازم أجهز نفسي.  
54,الناس هنا طيبين، يسألون عنك.  
55,هذا العيد قرب، شنو خطتك؟  
56,تذكر صيف الماضي، كان حار!  
57,هالموسم فيه مناسبات حلوة، نتجمع.  
58,كل يوم ليه قصة جديدة، صح؟  
59,هذا الكرسي مريح، اجلس شوي.
