ID,Text
1,أنا صرت أستخدم الواتساب بشكل يومي، تعبنا من المكالمات الطويلة.  
2,شوف الفيديو هذا على تيك توك، رهيب بالعالم!  
3,ترى عندهم إعلانات جديدة على الفيسبوك، لازم نشوفها.  
4,هالموبايل الجديد يشغل كل التطبيقات بسرعة، شنو رأيك؟  
5,لا تنسى تحديث النظام، شكلها عندهم مشاكل بالأمان.  
6,الألعاب على الموبايل صارت أحسن بكثير من قبل.  
7,أريد أشتري لابتوب جديد، شنو تنصحني؟  
8,المسلسلات اللي تتابعها على نتفليكس، جد طالعين مو طبيعي.  
9,هالأسبوع أنزل تحديث جديد للعبة، نتمنى لا تطلع مشاكل.  
10,صديقتي تتعلم برمجة المواقع، أكيد بتلاقي شغل بالعراق.  
11,اشتريت شاحن قوي للموبايل ويمشي مع كل الأنواع.  
12,حملنا تطبيق للطبخ، صرت أتعلم وصفات جديدة.  
13,التطبيقات المالية سهلت علينا التحويلات بين الأصدقاء.  
14,أحتاج أدور على حملة إعلانات بالفيسبوك لمنتجي.  
15,دور على مقاطع قصيرة تتعلق بتعلم اللغة الإنجليزية، فادني واي.  
16,الهاتف الجديد طلع عليه عروض خيالية بالسوق!  
17,أتمنى ينزلكم تحديث للعبة، لازم تطلع الأضافات الجديدة.  
18,صرت أمشي بالشارع وأصور كل شيء على انستغرام.  
19,الفلاتر على سناب شات تخلي صورنا مو طبيعية.  
20,عندي مشكلة بالانترنت، تأخر كل شيء عندي.  
21,التطبيقات الجديدة صارت تجيب لي كل الأخبار اللي تهمني.  
22,هالموقع يبيع أشياء تكنولوجية بأسعار حلوة، تعال شوف.  
23,وين تقدر تعلم نفسك برمجة التطبيقات، تحتاج معلومات أحسن.  
24,تويتر صار نقطة تجمع لأهم الأخبار، أتابعه كل يوم.  
25,ترى عندهم جهاز جديد ينظف المكان، شنو رأيك فيه؟  
26,الناس كلها تسوي لايفات على انستغرام، حابب أجرب.  
27,الرموز التعبيرية صارت لغتنا الجديدة بالمحادثات.  
28,باقي يومين على مؤتمر التكنولوجيا، أنا متحمس.  
29,تطبيق التعارف هذا مكسر الدنيا، تجيب لي ناس جدد.  
30,الكاميرا في هالموبايل فنتازيا، تحس نفسك مصور محترف.  
31,الدردشات الصوتية صارت خيار أحسن للناس المشغولة.  
32,اليوتيوب دوم يفاجئني بمحتوى جديد ومثير.  
33,تطبقي على الغسالة ذكية، تشتغل وحدها، شي رائع.  
34,المتاجر الإلكترونية أصبحت بحاجة لحماية أحسن.  
35,تشوف الفيديوهات هذه، تعلمنا أشياء تفيد بحياتنا اليومية.  
36,الكل صار يستخدم اشتراكات نتفليكس وبي بي سي.  
37,صديقي دز لي رابط لفيديو تحفيزي على انستغرام.  
38,ما أقدر أشتغل من غير الموسيقى بالتطبيقات، تجيب لي شغف.  
39,السماعات اللاسلكية راحت بيها الدنيا، صارت رائجة.  
40,عندي عندي حسابات كثيرة، ما أعرف شون أقدر أديرها.  
41,الدرونز صارت تستخدم في تصوير الأفراح، مو رهيب هذا؟  
42,الحماية بالصورة هاليومين صارت صعبة، لازم ننتبه.  
43,البرامج القديمة للحاسوب مصيرها النسيان، مالها فائدة.  
44,هالفيلم ينبث على منصة جديدة، يجب ان نشوفه.  
45,تطبيق تحديد المواقع مبروك عليك، صار سهل توصل لأي مكان.  
46,مع لي خلاطات لابتوب ما تنزل ونحاول تشتغل باللعب.  
47,هذا الجهاز يحسب السعرات الحرارية، مفيد للدايت.  
48,تويتر صار مكان للنقاشات السياسية وتعليقات الناس.  
49,أنزل برنامج يدعم عدة لغات، يحسن عندك مهاراتك.  
50,أحتاج لمتابعة الأخبار، يصير عبر تطبيقات أفضل.  
51,صديقي حابب يسوي مدونة جديدة عن التكنولوجيا.  
52,شفت شغلة بمكان، يمشي بسرعة ومو مكلف.  
53,الصفحات التعليمية على الفيس بوك، فادتني وايد.  
54,هذا التطبيق يراقب شغلك اليومي، جد عجيب.  
55,وين ممكن لقيت معلومات عن آخر أدوات الجوال؟  
56,الاستثمار بالأسهم صاير سهل بفضل التطبيقات الحديثة.  
57,اليوم شفت إعلان عن جهاز جديد للصوتيات، دا اشتريه.  
58,الطرق لعمل فيديوهات قصيرة صارت ممتعة.  
59,مكان العمل يتطلب برامج حديثة، شوفلي كيف أشتريها.  
60,الأطفال صاروا يعرفون يشتغلون على التابلت بلا معونة.  
61,تفاجأت بشخص يستخدم روبوت لطهي الطعام، شنو هالتطور!  
62,البرمجة صارت تعتبر من أهم المهن بالعراق.  
63,قالولي لازم تجيب راوتر أقوى، النت ضعيف عندي.  
64,سجلت في دورة فيديو جديدة لتعليم التصوير.  
65,البلاك بورد هاي الوظائف تساعد الطلبة وايد.  
66,البرامج الجديدة صارت سهلة الاستخدام والتعلم.  
67,كل فترة يطلعون بمسلسلات جديدة عبر الانترنت.  
68,التطبيقات اللي تخدم الاعمال تصير وايد مهمة.  
69,شفت فيديو عن DIY باستخدام تقنية جديدة، فادني وايد.  
70,حتى الرسائل الصوتية صارت مريحة بالتواصل.  
71,فنون التكنولوجيا صارت تنافس الأشياء التقليدية.  
72,أتمنى ألتقيك في الملتقى التقني القادم.  
73,الاجهزة الذكية تمكننا من التحكم بكل شيء بالبيت.  
74,تدري شنو أفضل تطبيق للصور؟ لازم تجرب!  
75,اعتقد الهواتف الذكية صارت بخطر السرقة هاي الأيام.  
76,شوف المطلوب من الدروس المدرسية عبر التطبيقات، سهلوا الأمور.  
77,تطبيقات اللي تهتم بالتصميم صاروا يقنعون الزبائن أسرع.  
78,مجتمعنا صار يعتمد على التقنية أكثر من قبل.  
79,أريد أستخدم تطبيق لتحسين لغتي، شنو ترشحلي؟  
80,سرعة الإنترنت عندي ضعيفة، محتاجين مساعدة.  
81,الفيديوهات التعليمية تساهم في تنمية القدرات.  
82,شفت تخفيضات على الإلكترونيات بالمولات، يلا نروح.  
83,التقنيات الحديثة تحسن جودة الحياة اليومية.  
84,سويتها بأفضل تطبيق تعديل الصور، طلع روعه.  
85,هذا المكان عندهم تقنية حديثة بالصيانة، تطلع أسرع.  
86,نسوي فريق على الواتساب للتنسيق لمشروعنا.  
87,تطبيق الحوالات الآن صار آمن وسهل.  
88,هذا اللابتوب يناسب العمل اليومي، ما يخيب.  
89,شوف كيف استخدم الهاشتاجات لجذب الانتباه.  
90,الختام كان رائع في مهرجان التكنولوجيا، شنو رأيك؟  
91,التأمين الإلكتروني صاير أمر مهم عالمياً.  
92,الاهتمام المتزايد بالبيانات الشخصية صار يحير.  
93,مواقع السيارات الكهربائية تستاهل الزيارة.  
94,يومين باقي على إطلاق التحديث الجديد، متحمس.  
95,هذا المقام سينقلنا التكنولوجيا لمستوى جديد.  
96,البرامج التعليمية عبر اليوتيوب تحسن الثقافة العامة.  
97,تطبيقات التعلم عن بعد غيرت مفهوم الدراسة.  
98,واجهت مشكلة أثناء تحميل البرنامج، شنو الحل؟  
99,اللقاءات الافتراضية صارت وسيلة لدعم العمل.  
100,شفت أجهزة جديدة لتسهيل الأعمال بالمكتب.  
101,كلنا نحتاج نشتغل على تطوير مهاراتنا التكنولوجية.  
102,واحد من أحب الصور عندي صار على دسك توب!  
103,تحدي الساعات الذكية صاير أسطوري مع التكنولوجيا اليوم.  
104,الأسواق مليانة بالأدوات المتقدمة، شنو نختار؟  
105,تجاربت مع الآلات الجديدة كانت مثيرة وممتعة.  
106,الفيديوهات القصيرة صارت علينا كفاليات، سريعة وجذابة.  
107,الحقيقة الزيادة في التكنولوجيا لازم نكون مجهزين له.  
108,الألعاب الأونلاين تعزز التواصل بين الأصدقاء.  
109,موقعهم الإليكتروني جبار، كلشي هناك!  
110,هذا التطبيق حلو لتسجيل المهام اليومية، ينظم وقتك.  
111,الأجهزة القابلة للارتداء صارت رائجة بالأعياد.  
112,أحياناً كل ما أحتاجه هو بحث بسيط على جوجل.  
113,أحب أسمع البودكاست أثناء طريقي للعمل، يجذبني.  
114,الأخبار الرقمية غزت كل المجالات، شنو رأيك بالميول الجديدة؟  
115,هالتقنية ممكن تساهم في تحسين جودة الصحة.  
116,تطبيقات الألعاب تعتمد على سيرفرات قوية جداً.  
117,زين التكنلوجيا اليوم نشلع بنا، مو هيج.  
118,الفيدوهات في الانترنت صارت تعطي أكثر معلومات.  
119,اجتماعات عبر زوم يعني أقدر أشتغل من أي مكان.  
120,لو زرت المحلات الخاصة بالأجهزة، رح تتفاجأ من العروض.  
121,التواصل عبر وسائل السوشيال ميديا صار محسوب.  
122,طريق سهل لتعلم الرسم هو عبر التطبيقات الجديدة.  
123,هذه الخدمة المجانية ممتازة للمبتدئين بالتقنية.  
124,وجدت هاتف بديل بسعر رمزي، لازم أشتريه.  
125,تطبيق يسهلقيничес عمل حاجة مرتبطة بالمنزل.  
126,أحتاج إلى شخص علموني عن العملات الرقمية.  
127,الهاتف الذكي يلزمنا في كثير من الأمور الحياتية.  
128,شفت الذكاء الاصطناعي يستخدم في التعليم، فادني.  
129,اجتماعاتنا صارت أخذ شكلين، حضوري عن بعد.  
130,سناب شات مضمون لقطات مثيرة كل يوم.  
131,أنا أعتقد أن الدروس عبر الانترنت صارت أساسية.  
132,متى ينزلون الجيل الجديد من الأجهزة؟ متشوق.  
