,Text,label
0,شرب الشاي مع النعناع، في وقت الاسترخاء.  ,Levantine
1,أمك شلونها، تحسنت صحتها بعد العملية؟  ,Iraqi
2,ذهبت لزيارة الأخت، وأحببت الجلسة معها.  ,Gulf
3,سمعت إنه فيه فرقة جديدة عم تتكون، بدها جماهير جديدة.  ,Levantine
4,خطر لي، هل فعلا نقدر نحب جميعًا؟  ,Iraqi
5,نتمنى للأهل كل الخير والصحة، وندعي لهم.  ,Iraqi
6,كيف أقدر أتعلم أستخدم تطبيقات جديدة أعلى فعالية؟  ,Gulf
7,فعالية العيد تشمل فعاليات ثقافية وتعليمية للأطفال.  ,Gulf
8,الدرونز صارت تستخدم في تصوير الأفراح، مو رهيب هذا؟  ,Iraqi
9,صار عندنا تلفزيون ذكي، يعني كل شي عالنت.  ,Levantine
10,توسعت الفنون لإشراك ثقافات العالم، وهذا شو التغيير.  ,Gulf
11,التعلم عن الثقافات الجديدة وسيلة التقارب بين الشعوب.  ,Levantine
12,نحب نشوف الغروب عند النهر، منظر مدهش يا جماعة.  ,Iraqi
13,عشرات الناس بيتجمعوا في ساحة التحرير للاحتفال.,Egyptian
14,الأهل والأصدقاء يلعبوا دور مهم في الرحلات.  ,Egyptian
15,تعلقت بكثير من الأشخاص، ودايم حريص على صداقتي.,Gulf
16,اتصلت بعمتي، الله يسهل عليها، واسمعوني.  ,Gulf
17,ممكن تتزوق الصحراء على الجمل وتحس بالإثارة.  ,Egyptian
18,كيف صحتك الفترة الأخيرة؟  ,Gulf
19,أهلا، محتاج أبدأ أعد شوية فلوس عشان أسافر الصيف الجاي.  ,Egyptian
20,تذكر شلون كنا نلعب في الشارع بعد ما تخلص المباراة؟  ,Iraqi
21,هل تحتاج دليلاً لتعليم الأطفال عن المال؟  ,Gulf
22,إذا ما كان عندك مشاغل، نتسوق سوا.  ,Levantine
23,السكرتير يمشي الأمور بشكل ممتاز في المكتب.,Gulf
24,شفتوا الهدايا الرقمية؟ صارت أسهل من قبل.  ,Gulf
25,عندهم شوية دالأولاد، غادي نكون فرحانين بزاف.  ,Maghrebi
26,مؤكد إن المرتب الجميل يحتاج توفير، مش تبذير.  ,Egyptian
27,أحب أستثمر مضمون وفاخر، ثلاثي ربحي.  ,Gulf
28,سمعت أن جارك مريض، واش صحيّتوه؟  ,Maghrebi
29,ناطرينكم عالساحة بعد المدرسة.  ,Levantine
30,لازم نعود إلى جذورنا، العراق ودائماً.  ,Iraqi
31,البنوك عم تحط فوائد مغرية على الودائع.  ,Levantine
32,رحلة الباص بها أسعار رائعة، راحة ومغامرة.  ,Iraqi
33,محتاجين نتواصل دايماً، وحب الأسرة لازم يكبر.  ,Egyptian
34,كنت أتفقد البوستات في الأندرويد، وكانو كلهم مفيدين.  ,Maghrebi
35,اليوم كان مليان نشاطات، تعطيك طاقة.  ,Gulf
36,الأفلام القصيرة كتير حلوة، مرات بتعبر عن الواقع بسرعة.  ,Levantine
37,استثمر أموالك، بس ادخل بالأمان!  ,Levantine
38,حبي أتابع الأحداث السياسية، الكل عنده آراء.  ,Levantine
39,النتائج طلعت، ربنا يوفق الجميع.  ,Iraqi
40,الأسعار في السوق بدأت ترتفع، لكن شالسالفة؟  ,Gulf
41,هل في برنامج خاص لتحفيز الزملاء؟  ,Egyptian
42,بدي أتعلم البرمجة، سمعت إنه مهم هالأيام.  ,Levantine
43,زرتني عائلتي من الكويت ورحتوا للملاهي مع بعض.  ,Gulf
44,الجو روعه، محتاجين نخرج نتمشى سوا.  ,Egyptian
