ID,Text
1,تحب تروح السينما بعدها نتعشى بره؟  
2,المسلسل ده جامد قوي، شوفته؟  
3,عجبتك غنيّة عمرو دياب الجديدة؟  
4,هتتفرج على الماتش ولا ملّيت؟  
5,فيلم الأسبوع اللي فات كان يضحك بجد.  
6,مسلسل الاختيار خلى الناس كلها تتكلم عنه.  
7,بصراحة، الأغاني الشعبية ليها مذاق خاص في الفرح.  
8,ليه مش بنسمع عن فرقة الموسيقى البديلة دي؟  
9,لو عايز تنبسط، روح حفلة باند شارموفرز.  
10,"أنت متابع الموسم الجديد من ""لعبة العروش""?  "
11,الأغنية دي بتفكرني بذكريات المدارس.  
12,تحب تسمع راديو ولا عندك بلاي ليست معينة؟  
13,الماتش اللي فات كان مجنون، شوط إضافي وحركات!  
14,فيلم الرعب ده مخوفني طول الليل بصراحة.  
15,الممثل ده بيعمل أدوار هادفة وواقعية.  
16,عاوز تروح مهرجان الجونة السنة دي؟  
17,الأبطال الخارقين كله شوفهم في فيلم واحد.  
18,السوشيال ميديا قلبت الدنيا بعد المسلسل ده.  
19,الأفلام الكلاسيكية مينفعش الواحد يشبع منها.  
20,كنت عايز أشتري ألبوم جديد، سمعت إن فيه حاجات حلوة نازلة.  
21,تحب نروح حفلة فوق سطح المدينة؟  
22,إعلانات الفيلم المنتظر كانت رهيبة.  
23,مين عاوز يشارك في دورة شارع لكرة السلة؟  
24,عمرو دياب دايماً عنده جديد يفرقع السوق.  
25,الأفلام المستقلة دي بتدي نكهة مميزة للسينما.  
26,جربت العزف على الجيتار، اكتشفت إن الموضوع مش سهل.  
27,فرق التطور الرقمي والهوت أرت في الأغاني مذهلة.  
28,عارف إن الزمالك مغلب الأهلي آخر مرة؟  
29,الناقدين أعطوا الفيلم ده تقييمات عالية قوي.  
30,الفنانين الجداد بيدخلوا السوق بقوة.  
31,المسلسل ده بيمسك الواحد من أول حلقة.  
32,استنى اللحظة الحاسمة في كل ماتش!  
33,مين فزورة الألعاب الأوليمبية اللي بتشجعها؟  
34,الحفلات الغنائية تحت الكوبري حماسية بشكل مختلف.  
35,ماشية على أنغام قديم مات!  
36,ممثلين زي دول بيفتكروا بالأدوار العظيمة.  
37,سمعت عن مهرجان الموسيقى الإلكترونية اللي هايبدأ قريب؟  
38,البطولات الدولية بقت جزء من حياتنا.  
39,جميل لما نشوف دعم الفنانين لبعضهم في المهرجانات.  
40,الفيلم الوثائقي ده أثر فيّ جدًا.  
41,الملابس اللي بيظهر بيها الفنانين في الحفلات بقت موضة.  
42,مين قدوتك في الرياضة؟  
43,كل أغنية لها قصة وذكرى.  
44,الأفلام العربية بقت بتنافس عالمياً.  
45,ماتشات الكورة وسط الأصدقاء ليها طعم تاني.  
46,عروض الأزياء بقت جزء من الثقافة الفنية.  
47,تتوقع مين هيفوز بالأوسكار السنة دي؟  
48,الموسيقى الكلاسيكية بتهدي الأعصاب بعد يوم طويل.  
49,هواية تجميع الأفلام القديمة بقت شغفي الجديد.  
50,المسرحيات الكوميدية دايمًا بتخلي الواحد يضحك.  
51,بحب أقعد على قهوة وأسمع الحفلة المباشرة بالليل.  
52,الكتاب ده لو بقى فيلم هيكون حاجة خرافية.  
53,مين المطرب اللي بيغنيله قلبك؟  
54,فيلم تاني ولا كفاية كده للنهاردة؟  
55,التقنيات بقت بتخلي الخدع السينمائية أكثر واقعية.  
56,جارون ووبنز تحدي جديد كله حماس.  
57,كل مباراة نهائية لها قصة كبيرة بتفضل في الذاكرة.  
58,العروض الراقصة بقت منتشرة جداً في الحفلات.  
59,تقدر تغنيلي أغنية واحدة لسايرز؟  
60,الطريقة اللي بيلعب بيها الفريق دايماً بتبهرني.  
61,تفتكر الممثل ده هيقدم إيه جديد في الفيلم الجاي؟  
62,الصوت اللي بيطلعه لما بيجنن الجمهور.  
63,الموسيقى الشعبية بتجمع الناس في الأفراح.  
64,بنشجع البطل بتاعنا في كل لعبة.  
65,شوف، الكتاب يقرا، انما الليلة اللي بتعشها.  
66,كيد الدنيا والمسلسل اللي فات.  
67,نسيت الكليبات اللي طلعت زمان وقلدت بيها النجم العالمي.  
68,بجد الفيلم ده حكاية تانية خالص.  
69,اللي بيحب الدراما دايمًا له طعمة.  
70,الكورة في حياتنا جزء كبير ومن كل فريق نشجع اتنين!  
71,أصل المزاج يتضحك مع المزاج العالي.  
72,كل ما ييجي المزيكا ننسى كل الهموم.  
73,دايماً الجمهور بتوع الأفلام مليانين حماس.  
74,فاكرك لما حضرنا الحفلة سوا؟  
75,الكلاسيكيات ليها سحرها اللي ما يختفيش.  
