ID,Text
1,إزيك يا حبيبي، عامل إيه النهاردة؟  
2,الجو نار بره، حنتشمس وإحنا طالعين؟  
3,مفيش زي الشاي بالنعناع بعد الأكل.  
4,يا ريتني كنت معاكو في المصيف.  
5,إحنا رايحين السوق نشتري خضار، تحب تجيب حاجة؟  
6,المشوار بعيد، تحب نركب تاكسي؟  
7,أهلا وسهلا فيك، اتفضل البيت بيتك!  
8,هو فين أستاذ حلمي؟ ساب الشغل تاني؟  
9,هتقوم من النوم بدري بكرة عشان الشغل؟  
10,النهاردة الأكل كان طعمه حكاية!  
11,تديني رأيك في اللبس الجديد؟  
12,الولاد كانوا مشاغبين النهاردة في المدرسة.  
13,محتاج تنزل تشتري حاجات قبل العيد؟  
14,سألت عن مصطفى، قالي مسافر أسبوع.  
15,طب ليه حزين كدا؟ حصل حاجة؟  
16,الفنانين كلهم موجودين في المهرجان النهاردة!  
17,بكرة في ماتش كبير، تحضر معانا؟  
18,الصحبة اللي معايا دلوقتي، روعة!  
19,يلا بينا نروح نلعب شدة ونشرب قهوة.  
20,فتحي دايما بيحب يضحك على كل حاجة!  
21,إحنا نحب وكوه كبار، هنعزمكم على الغدا.  
22,محمود جاوب على سوالك بطريقة غريبة.  
23,في حارة عندنا مفيش زيها في مصر.  
24,إحنا لازم نعمل حفل صغيرة في البيت.  
25,بتحب تأكل كشري ولا بقولك أكل جديد؟  
26,أخبار رمضان عندكم عامل إزاي؟  
27,النهاردة الأكل ملوش حل، بجد!  
28,انت مش قاعد في البيت ليه؟  
29,خالي عنده مزرعة، وحياتها حلوة أوي.  
30,حبيبي، الفلوس خلصت ولا لسه؟  
31,شفت الحلقة الجديدة من المسلسل؟ كانت جامدة!  
32,الناس في المحطة كانوا متجمعين عشان المطر.  
33,تعال شوف الفستان اللي جبته، تحس إنه هيناسبني؟  
34,كل ما يجي العيد، بنلعب مع الأولاد في الشارع.  
35,المحل عنده خصم، لازم نروح نشتري.  
36,أول ما اشترينا التذكرة، بدأ المطر ينزل!  
37,هعاود أتعلم رقص الشرقي قريب، أنت معايا؟  
38,عندك فكرة عن المناسبة اللي هتحصل في الجيزة؟  
39,إحنا بنشوف الأفلام على السطح في الصيف.  
40,المطرب دا صوته حلو أوي، بحبه!  
41,قاعد مع أصحابك، ولا فضلتي لوحدك؟  
42,أنا عايز أسافر الإسكندرية، أروح إمتى؟  
43,الفطار كان ضخم النهاردة، الاستراحة جميلة.  
44,حبيبي، معاك شواحن للتابلت؟  
45,أختي بتحب القهوة سادة، أنا بحبها بحليب.  
46,في كرنفال في المدينة، نفسي أروحه.  
47,ممكن تجيب لي علبة حلاوة من المحل؟  
48,الجو العليل على النيل، حاجة جميلة!  
49,العيال مش بيهدوا، عايزين يلعبوا طول اليوم.  
50,قولي بقى، قمت من النوم بدري ولا لسه؟  
51,المباراة كانت حماسية، والفريق كسب!  
52,يلا نطلع نتمشى شوية، الجو جميل.  
53,مفيش حاجة أسعد من قعدة مع الأصحاب.  
54,إحنا ناقصنا نروح مع بعض لأهرامات الجيزة.  
55,بتحب المزيكا العربية ولا الغربي؟  
56,اليوتيوب مليان فيديوهات مفيدة، عايز أشارك معاك.  
57,السمك في العزومة كان طعمه لا يوصف!  
58,يوم العيد أحلى الأيام، الكل بتجمع.  
59,ميعادنا مع القهوة كان مفروض النهاردة.
