ID,Text
1,التطبيق هذا يضبط حرارة البيت بشكل تلقائي.  
2,وين احصل أغراض الجوال الذكي في السوق الالكتروني؟  
3,هذا البرنامج يسوي فيديوهات احترافية بسرعة.  
4,شفت التحديث الجديد للسناب شات؟ رهيب!  
5,وايد ناس تتكلم عن هالتطبيق الجديد.  
6,جربت تشتري أون لاين عبر انستقرام؟  
7,الألعاب الإلكترونية صارت جزء كبير من حياتهم.  
8,جهازي ما يشتغل بدون الواي فاي.  
9,هذا الموديل من اللاب توب ينفع للشغل والدراسة.  
10,لا تنسى تشحن سماعتك اللاسلكية قبل ما تطلع.  
11,مرات النت بطيء بسبب ضغط الاستخدام.  
12,هذا التطبيق يحسب لك الخطوات اللي تمشيها كل يوم.  
13,ليش ما ينزل التطبيق على جهازي؟  
14,جربت تشوف القنوات هالأجنبية بالتلفزيون الذكي؟  
15,شلون نسوي فيديو مباشر على اليوتيوب؟  
16,هذا الابتكار الجديد روعة في عالم التطبيقات الصحية.  
17,انترنت الألياف الضوئية بطيء اليوم!  
18,اخذ نصايح من الانستقرام تفيد في الطبخ.  
19,سمعت عن تقنية جديدة لتوفير الطاقة بالجوالات؟  
20,سرعة الانترنت بالبيت سريعة مثل البرق.  
21,التصوير بالجوال صار جزء من حياتي اليومية.  
22,الحين نقدر ندفع بالفون بدون بطاقة.  
23,منو يعرف أفضل التطبيقات لتحرير الصور؟  
24,أبي اشتري تلفزيون ذكي، شنو تنصحوني؟  
25,وايد استمتع بمتابعة الترندات على تويتر.  
26,المهارات التقنية مطلوبة بكل الوظايف الجديدة.  
27,شرايك بالتحديث الجديد للواتساب؟  
28,استخدام التطبيقات سهل الحياة اليومية.  
29,هالفريق اشتغل في تطوير تقنية جديدة مفيدة.  
30,هذا الجهاز يدعم تقنية الشحن اللاسلكي.  
31,وايد معلومات نلقى بمزاودة التقنية.  
32,من زمان ودي اشتري سوار ذكي حق الرياضة.  
33,وين احصل التطبيقات العربية المفيدة؟  
34,كل شخص صار عنده تقنية الذكاء الاصطناعي في الجوال.  
35,الصيانة الإلكترونية ضرورية لحفظ الجوالات من الخراب.  
36,شفت الفيديوهات اللي تعملها تطبيقات الذكاء الاصطناعي؟  
37,الحين نقدر نتواصل عن بُعد بدون مشاكل.  
38,ودي أتعلم تصميم تطبيقات لأجهزة الأندرويد.  
39,التقنية غيرت طريقة تعلم العيال بالمناهج الحديثة.  
40,ترى برنامج حماية الفيروسات ضروري عاللاب توب.  
41,الألعاب اون لاين تاخذ وقت كبير من نهارنا.  
42,ما لقيت نظارات الواقع الافتراضي بالسوق المحلي.  
43,الطابعات ثلاثية الأبعاد تغير من شكل الصناعة اليدوية.  
