ID,Text
1,إزيك يا حبيبي، عايز أقولك على حاجة مهمة.
2,النهاردة عندنا فرح صاحبنا، لازم تيجي معانا.
3,أنا بحب كافتيريا الحي، الأكل هناك روعة.
4,مراتي مش سايبة لي أي حجة، كل شوية تعاتبني.
5,في كافيه جديد فتح في الحتة، لازم نجربه مع بعض.
6,أصحابي بيقولوا إن السعادة في البساطة، صح؟
7,أنت مش فاضي تقعد معانا النهاردة؟
8,يوحشني الضحك معكم، لما هتتجمعوا تاني؟
9,صديقي عنده مشكلة كبيرة، محتاجين نساعده.
10,إحنا في الكلية بنحب نعمل حفلات في العيد.
11,بكرة نروح السوق مع بعض، عندي شوية حاجات أشتريها.
12,لما أكون مضغوط، بحب أقعد مع صحابي.
13,أنا عايز أشارك في مشروع جديد معكم.
14,في حفلة مفاجأة لمديرنا، خلوها سرية!
15,إمتى نعمل لقاء تاني مع العيلة؟ أشتقتلكم.
16,النهارده عايز أطبخ أكلة مصرية حلوة.
17,حبيبي، إنت حبيبي وإنت أجدع واحد في الدنيا.
18,وأخيرا بقينا في نفس الشغل، يا حظي.
19,أصحابي بيحبوا يشوفوا الأفلام الجديدة في السينما.
20,لازم نروح الجونة الصيف الجاي، الجو هناك حلو.
21,عازمكم على عشاء يوم الجمعة، اجملوا معانا.
22,أحب أروح الممشى، أنسى هموم الدنيا.
23,عندنا فريق كرة قدم في الحي، انت مش عايز تلعب معانا؟
24,تنورين في الفرح، البنات محضران مفاجأة.
25,برغم زحمة القاهرة، أنا بحب شوارعها.
26,إنت وشك مش غريب، أنا عارفك منين.
27,لما كنت صغير، كنت أحب أسمع حكايات جدتي.
28,النهاردة أول يوم لها في الشغل، نفسي يجيلها نيّل.
29,إحنا فنانين الطبخ في العيلة، نعمل أفكار حلوة.
30,أحب أسمع الأغاني القديمة مع صحابي.
31,في قعدة عندي الخميس الجاي، تفتكر هتكون هادية؟
32,يلا نخرج يومي الجمعة نعمل حاجة ممتعة.
33,أحلى ذكريات لما كنا نلعب في الشارع وقت الغروب.
34,الصداقة الحقيقية أهم من كل حاجة في الحياة.
35,مراتي مش عايزين نخرج في آخر الأسبوع، مش غريبة؟
36,هي بتحب المفاجآت، عايز أجيب لها هدية حلوة.
37,الحب مش كلمات بس، الحب أفعال.
38,ممكن نروح رحلة بالمركب في الصيف الجاي؟
39,الأفلام الكوميدية بتخلي اليوم أجمل.
40,يوم مشمس زي ده لازم نكون برة البيت.
41,الأصدقاء هم العائلة اللي نختارها.
42,العيلة دي من أجدع العائلات في المنطقة.
43,إحنا لما نجتمع، نعمل جو حلو قوي.
44,الصحبة الطيبة تزود السعادة في الحياة.
45,لما نكون مع بعض، كل حاجة بتحلى.
46,الصباح الباكر هو وقت الأفكار الجديدة.
47,أحب أكرم ضيوفي، بيشرفوني دايمًا.
48,العزومات تبقي أجمل لما تكون العيلة مجتمعة.
49,في لينك بين القلب والعقل في علاقاتنا.
50,جدتي علمتني كيف أحب بدون شروط.
51,قفلت الخط مع أبويا بعد ما صارحني.
52,مش عايز أزعل حد، ممكن نحل المشكلة معاً.
53,الناس الطيبة في الحياة هم أبطالها.
54,الأصدقاء الصح صحبة جميلة ومؤثرة.
55,في ذكريات كتيرة في الكافيه جنب الجامعة.
56,الأعياد بتجمعنا في حب وفرح.
57,مين هو أقرب واحد ليك في العيلة؟
58,إحنا جربنا نعمل فطار في الحديقة.
59,الإيجابية بتخلي اليوم أفضل بكثير.
60,الأحداث الأخيرة في البلد خلتني أفكر كثير.
61,لما كنت في المدرسة، كان عندي أصدقاء مقربين جدًا.
62,ممكن نتناقش عن مشاكل الشباب في المجتمع؟
63,وشوشكم فيها نور، إلا كده محبتكم مصدقتش.
64,كان عندنا اجتماع عائلي من أسبوعين.
65,الأيام اللي بنقضيها مع العيلة أهم.
66,مع مرور الوقت، صداقتنا زادت قوة.
67,نقابل أصحابنا ونحكي عن الأحداث الجارية.
68,الأكل في البيت له طعم تاني.
69,مراتي من أجدع البنات اللي قابلتهم في حياتي.
70,كان عندنا قعدة حلوة مع الأصحاب بوحدهم.
71,محتاجين نساعد المحتاجين في منطقتنا.
72,الأدب مع الأهل مش مجرد واجب.
73,أحلى شيء في العلاقات هو الاحترام المتبادل.
74,المشاكل بتحل بالنقاش وليس بالعصبية.
75,عندي شغف لتعلم أكلات بلاد مختلفة.
76,أحسن إجازة لما نقعد على البحر.
77,الصداقة مش مجرد اسم، لكن علاقة وثيقة.
78,التفاهم بين الأزواج هو مفتاح علاقة ناجحة.
79,أشوف أصدقائي كل يوم، ولا غني عنهم.
80,أنا بحب أكتر حاجة لما نحس بعض وندعم بعض.
81,فيه ناس في حياتنا، لازم نكون شاكرين لوجودهم.
82,عزمت جيراني في العيد، كان يوم جميل.
83,وعدت نفسي أكون أفضل صديق لزوجتي.
84,نضحك سوا ونتذكر أيام زمان.
