sentID.BTEC,split,lang,sent,label
2100,corpus-6-test-corpus-26-test,BAS,باك محفظتي وشرد.,Iraqi
10182,corpus-6-test-corpus-26-train,JED,منظر حلو. دي ممرات مشاة حلوة.,Gulf
16292,corpus-6-test-corpus-26-test,ALG,تقدر تديني لكانترباري و ترجعني؟,Maghrebi
412,corpus-6-train,DOH,هذي هدية. ممكن تغلفها؟,Gulf
9431,corpus-6-test-corpus-26-train,MUS,اهني واحده لك سيدي.,Gulf
2898,corpus-6-test-corpus-26-train,AMM,احنا منزور قرايبنا دائما وأبداً.,Levantine
15452,corpus-6-test-corpus-26-train,JED,حقيقة، أبا دا الطرد يتأمن كمان.,Gulf
19494,corpus-6-test-corpus-26-train,ASW,براشيم الهضم وبراشيم المعدة مختلفين، ماشي؟,Egyptian
5361,corpus-6-test-corpus-26-train,ALX,صباح الخير. نمت كويس؟,Egyptian
7671,corpus-6-test-corpus-26-train,MUS,خذني إلى طريق ابي، من فضلك.,Gulf
4744,corpus-6-test-corpus-26-train,SAL,بآخر الكريدور .,Levantine
3295,corpus-6-test-corpus-26-train,BAS,لا، ماكو.,Iraqi
7574,corpus-6-test-corpus-26-train,BAS,مميز، رجاءا.,Iraqi
17611,corpus-6-train,BEI,حدئة الحيوانات المشهورة عالميًا بورنكس زو هي مطرح تاني يمكن يهمك.,Levantine
15487,corpus-6-test-corpus-26-train,ASW,إنت عايز الفلوس إزاي؟ لو سمحت إملى الورقة وإمضي هنا.,Egyptian
4324,corpus-6-test-corpus-26-test,BAS,هاي عشرين وانطيني دولارين، رجاءا.,Iraqi
6466,corpus-6-test-corpus-26-train,ALE,بدي أغير على غرفة مطلة عالمحيط. في شي كلفة إضافية؟,Levantine
679,corpus-6-test-corpus-26-test,ALE,آه، هاد ولا شي. أنت هون، عكل حال.,Levantine
13828,corpus-6-test-corpus-26-dev,CAI,دي مكونات طبيعية؟,Egyptian
11450,corpus-6-test-corpus-26-train,BAS,اريد توخره.,Iraqi
667,corpus-6-test-corpus-26-test,ALE,كان لازم تطلع بالرحلة تمانة تنين صفر، يلي طارت من خمسطعش دقيقة. طيب. بقدر زبطلك طيارة تانية.,Levantine
2382,corpus-6-train,RAB,الحلم ديالي تحقق.,Maghrebi
6694,corpus-6-dev,BEI,ببلش من التسعة .,Levantine
13854,corpus-6-test-corpus-26-train,BAS,هو منشول.,Iraqi
3792,corpus-6-test-corpus-26-dev,CAI,ممكن ادفع بشيك سياحي؟,Egyptian
4150,corpus-6-train,DOH,اوه. حسافة. عيل، شرايك بهذي، تسوي شغلة سهلة؟ كل اللي عليك انك تدخل هالفلم هني وتطق زر التصوير.,Gulf
14763,corpus-6-test-corpus-26-train,AMM,هو عمره تلاتين سنة.,Levantine
13347,corpus-6-test-corpus-26-train,BAG,زين، بس فكر شكد راح تطول بيدة الشغلة اكثر اذا سأل سؤال اضافي واحد لكل شخص. يله يمعود. خلي نستعجل وناخذ جنطنا. لازم وراها نروح على الكمارك.,Iraqi
5663,corpus-6-train,RAB,كايبقا صالح ربعطاش ليوم. تقدر تبقا تخدم بيه حتال نهار تلاتة و عشرين.,Maghrebi
6635,corpus-6-test-corpus-26-train,AMM,وين المحطة؟,Levantine
19945,corpus-6-test-corpus-26-train,RIY,اثنين بالغين و طفل عمره ثلاث سنوات.,Gulf
4464,corpus-6-test-corpus-26-train,ALX,إيه المسرحيات الموسيقية اللى شغالة دلوقتى؟,Egyptian
13027,corpus-6-test-corpus-26-train,MUS,نحن ذاهبون للنط من اهني؟,Gulf
5035,corpus-6-test-corpus-26-train,BAG,ممكن أشوف القائمة مرة لخ؟,Iraqi
