ID,Text
1,أكيد، هي جمل باللهجة اللبنانية. 
2,
3,شو أخبارك اليوم؟  
4,أنا رايح على السوق بدي اشتري شوية خضار.  
5,هلأ الجو حلو كتير، perfect للطلعة.  
6,وين بدك تروح بأول الأسبوع؟  
7,عنا عشاء عند الأصدقاء مساء.  
8,ما في شي أحلى من قهوة الصباح.  
9,بدي أتعلم شوي عن الطبخ الشرقي.  
10,إذا بتريد، خبرني إذا فيه شي جديد.  
11,أنا بحب الأغاني القديمة، خاصة لفيروز.  
12,الشارع زحمة اليوم، يمكن بسبب العطلة.  
13,وين صاروا الأولاد؟ عم يلعبوا برا.  
14,فكرت أزور أمي هالأسبوع.  
15,الأكل عندك طيب كتير، يسلم إيديك.  
16,بدي شوف الفيلم الجديد اللي نزل.  
17,في حفلة موسيقية بكرة، بتحضر؟  
18,الكتاب اللي عم أقرأه ممتع جدا.  
19,مرتاح اليوم، ما عندي شغل كثير.  
20,حابب أروح على البحر هالويكند.  
21,إذا بتحتاج أي مساعدة، أنا موجود.  
22,شفت آخر مباراة لكرة القدم؟ كانت حماسية!  
23,ليلة مبارح كان في عاصفة قوية.  
24,كيف كانت رحلتك لبيروت؟  
25,في مطعم جديد فتح بالحي، لازم نجربه.  
26,تحب الشوكولاتة أو الفواكه أكثر؟  
27,هالموسم الصيفي كان حر كتير.  
28,بدي سجل في دورة رسم، حابب أتعلم.  
29,شو رأيك نعمل نزهة بالجبال؟  
30,الولاد صاروا كبار بسرعة!  
31,أنا بحب أسمع الموسيقى وقت أشتغل.  
32,الأسواق مليانة بالناس قبل العيد.  
33,كيف تتعامل مع الضغط في الشغل؟  
34,الحديقة عندنا صارت خضراء بعد المطر.  
35,حكيت مع جيراني عن الحفلة الجاية.  
36,بليز، بعتلي صورة من الرحلة.  
37,ما في أحلى من قعدة مع الأصحاب.  
38,الشمس طالعة اليوم، لازم أطلع شوي.  
39,في فكرة جديدة بدي أحكي لك عنها.  
40,بدي أشتري هدية لصديقي بعيد ميلاده.  
41,وين بدي أوقف السيارة؟ كل الأماكن معبية.  
42,الأطفال يحبوا يلعبوا بالماء بالصيف.  
43,عندك فكرة عن وين بقدر أشتري هالشي؟  
44,اليوم رح أعمل شوية تمارين رياضية.  
45,بدي أبدأ أتعلم لغة جديدة.  
46,كيف بتحب تقضي عطلتك؟  
47,الأسعار ارتفعت كتير هالأيام.  
48,ما في شي أحلى من عشاء عائلي.  
49,الطبيعة هون بتجنن، لازم نروح مشوار.  
50,شو بتحب تأكل في المطعم؟  
51,بكرة عندي موعد مهم، لازم أكون جاهز.  
52,إذا بدك، نقدر نروح سوا.  
53,أحب أقرأ الكتب قبل ما أنام.  
54,بدي أشتري تلفون جديد، شو بتنصحني؟  
55,الذكريات الحلوة بتضل معنا طول العمر.  
56,ليش ما نلتقي ونشرب قهوة سوا؟  
57,بدي أتعلم كيف أعمل كعكة.  
58,وين بدك تروح إذا فزت باليانصيب؟  
59,العمل الجماعي بيخلي الأمور أسهل.  
60,حكيت معك عن الرحلة إلى الأردن؟  
61,لازم نحضر المناسبة الجاية مع العائلة.  
62,الأفلام الرومانسية بتجذبني كتير.  
63,إذا بتعرف حدا يساعدني، خبرني.  
64,أنا بحب أستمع لقصص جدتي.  
65,الليلة رح نحتفل بعيد ميلاد صديقي.
