ID,Text
1,سير تشوف شحال هاد الخبز اليوم.  
2,شريت جوج د الحمص و صافي، بلا ما نعمر راسي.  
3,كتعرف شحال كيديرو الصبليطة د الجوج؟  
4,كنت فالسوق و لقيت ثمن جيد على الفواكه.  
5,أش بغينا نديرو بالفلوس ديال العيد؟  
6,دبا غادي نصرفو على الحضرة و الماكلة.  
7,راك عارف، خاصنا نهتمو بلصاش إلا بغينا نوفروا.  
8,العطلة قريبة، خاصني نجمع شوية د الفلوس.  
9,كتشوف هاد الطوموبيل الجديدة، شحال ثمنها؟  
10,أقرب الويكاند غادي نخرج ندور على العروض.  
11,بغيت نبدل هاد الفلوس لعملة أخرى.  
12,شحال كتترجى تخلصني على الخدمة ديالك؟  
13,شحال خلصتي على هاد الجوارب؟  
14,عندي شوية د الديونة، خاصني نرجعهم.  
15,خسرت شوية فالمقامرة، ما خاصنيش نعاود.  
16,كتعرف شي بقال نستطيع نلقا عندو د التوصيل؟  
17,الأسواق عامرة و الثمن شاد.  
18,ديما كنقلب على الصفقات المزيانة.  
19,بغيت نشري تلفازة، شحال عندك فالدكان؟  
20,شفت العروض اللي فالإلكترونيات، زوينة بزاف!  
21,أجي تشوف التساوي، ثمنها مزيان.  
22,عندنا بركة د الفلوس، خاصنا نستغلوها.  
23,بغيت ناخد القهوة لكن الثمن غالي اليوم.  
24,الأسماك فهاد السوق اليوم غالية، عاود غدوة.  
25,فكر معايا، شنو نفعلكم الفلوس هاد السيمانة؟  
26,طاح الثمن ديال الدار، بنادم مابغاش يشري.  
27,لا بحتاج نعطيك شوية د الفلوس للمصروف.  
28,شحال كتخلص على الكراء فهاد الحي؟  
29,عندك شي نصيحة باش نوفر من المصاريف؟  
30,محتاجة نرى الحساب البنكي ديالي.  
31,شفت شي إعلان على العروض، خاصني نجرّب.  
32,عندك لعيبة اللي بغاو لعبو ب الفلوس؟  
33,العيالات كيدبرو البيوت بجوش.  
34,بغيت نديك فشي جولة في الأسواق.  
35,دبا وليت نتخاف من الفلوس اللي كتساوي بزاف.  
36,لي بغانا نحطم هاد الثمن، شكون يجاوب؟  
37,ما بقا عندي الفلوس، خاصني نقتصد.  
38,سمعت أن الأسواق بالليل توفر شوية.  
39,أيا، شحال كراك تخلص فالمحلّ؟  
40,راحت تخلصني دبا باش نجمع شوية د الفلوس.  
41,عندها بطاقة اختيارية، نقدر ناخد شوية د النقود.  
42,كنلقا الفلوس أزرقين يوم التلاتاء، شي واحد عندو معلومة؟  
43,شوف شحال يزيد الثمن كل نهار.  
44,خاصنا نصلّح الوضع د الفلوس، راهم قلال.  
45,نديرو الحسابات قبل ما نشريوا الحوايج.  
46,فلاميلة غالية، خاصني نصبر.  
47,كانت عندي شي صفقة فاش سافرت، ربح مزيان.  
48,كندير تاشي زيان فالسوق، نبغي الفلوس ولّا ماشي.  
