ID,Text
1,أنا حاسس إني تعبان شوية، محتاج أرتاح.
2,الدرسة عندنا خلصت، ولادي فرحانين أوي.
3,ماما صحتها مش كويسة، لازم نروح نشوفها.
4,صاحبتي جت عندي وزرعنا شوية فواكه في الجنينة.
5,الوقت بيجري بسرعة، بس عايز أستغل الصيف في حاجة مفيدة.
6,أخويا جاله شغل جديد، ربنا يوفقوا.
7,خالتي اتعملت عملية وبقيت كويسة دلوقتي.
8,ابن عمي بيفكر يتجوز السنة الجاية، حاسس إنه مستعد.
9,لما قلبت المعزة، ظبطنا الغدا مع الأهل.
10,أصحابي جابوا لي هدية عشان عيد ميلادي، حسيت بفرحة كبيرة.
11,لو صحتك مش تمام، لازم تزور دكتور.
12,كنت مسافر مع العيلة في شرم الشيخ، وكان يوم جميل.
13,البنات في المدرسة بيتكلموا عن السفر لأوروبا.
14,والدي قاعد مع أصدقائه في المقهى، وكلهم يسترجعوا الذكريات.
15,جدي بيحب يشرب شاي بعد العشا، مفيش أجمل من كده.
16,حد عنده فكرة عن أماكن العزومات العائلية؟
17,أنا ابتديت أمارس الرياضة علشان الصحة.
18,سعادتي في لمتنا مع الأهل في الأعياد.
19,ذبحنا الخروف في العيد، واللحم كان طازة.
20,معايا شوية مشروبات رمضان للضيوف.
21,إحنا بنجتمع كل خميس عشان نشوف بعض.
22,البنات بيتعلموا سوا في الكورس، ومنهم سعادتي.
23,الجو حر جدًا، بس إحنا بنحب السهر مع الأصحاب.
24,ممكن نخرج الفجر ونتسحر مع بعض؟
25,ماما عملت أكلة مميزة للرجالة، الكل عجبته.
26,حد شاف قرايبي اللي كانوا معانا في العيد؟
27,ابن أختي جاب درجات عالية، فرحانين بيه.
28,حبيبي كان حاسس بالبرد، دلوقتي جسده اتحسن.
29,صديقي عنده حفلة كبيرة النهاردة، نفسي أروح.
30,العيال حبوا القصة اللي حكيتها لهم.
31,بابا بيحب يزرع الطماطم في البلكونة.
32,أختي تعبانه شويتين، ربنا يشفيها.
33,الجو جميل النهاردة، ممكن نخرج في رحلة قصيرة.
34,حلق الموبايل بتاعه ضاع، زعلان جدًا.
35,الصلاة مع الأهل بتخلي القلب بينبض بالراحة.
36,عمتي جبتهالي هدية بمناسبة نجاحي.
37,يناير عندنا عيد، عايزين نحتفل مع كل العيلة.
38,أنا بدأت أكمل دراستي، زمان كنت خايف.
39,تأثرت كتير لما شفت صورة جدي في الفيسبوك.
40,هم بيلعبوا كورة في الحارة، أحلى ذكريات.
41,لما بتكون مع صحابي، الدنيا تبقى حلوة.
42,ممكن نروح البحر الأسبوع الجاي؟
43,حضرت عزا صديقي، الله يرحمه.
44,خروج العيلة مع بعض بيكون في قمة السعادة.
45,إحنا عاوزين نروح شاليه لحد عيد الأضحى.
46,كل يوم الصبح، بنشرب قهوة سوا.
47,أخواتي كل واحد فيهم عنده حلم خاص.
48,"ماما تقوللي دايمًا ""صحتك أهم شيء""."
49,أنا بفكر أبتدي أكمل في الرياضة لمدة شهر.
50,ممكن بس نروح معاهم للمتنزه ليوم؟
51,شفت بنت الجيران بتتجوز، كانت فرحة جميلة.
52,عايزين نتجمع في العيد، يكون مكان مميز.
53,بالليل، نشوف أفلام ونتناول سموزي فواكه.
54,ابنت عمي بعثت لي مسج، بتقول انها مشغولة.
55,لما أخويا يحضر اللعبة، دايمًا بيأخدني معاه.
56,محتاج أتعلم حاجة جديدة عشان أوسع معرفتي.
57,الشتا جاي، لازم نجيب شال وغلاف.
58,في الغداء، كان عندنا كفتة وطاجن ملوخية.
59,أحنا عايزين نروح زيارة للجد في البلد.
60,الأكل كان لذيذ والعزيمة كانت مع العيلة كلها.
61,الشمس بقى مريحة، ممكن نخرج.
62,عندي فكرة جديدة لصاحبتي كهدية.
63,مليانة ذكريات حلوة من العيد الماضي.
64,الجمعة الجاي عندنا سهرة عائلية في البيت.
65,عقدت خطبتي في جو بهيج مع عيلتي.
66,الولاد صغيرين لسه، لكنهم كانوا في غاية الفرح.
67,كان عندنا احتفال في الشغل على نجاح المشروع.
68,كل ما بفكر في اللمّة، الإحساس يكون مختلف.
