ID,Text
1,خليت الجوال يشحن لليوم، بس نسيته وبطاريته خلصت.  
2,شو بيصير إذا حذفت هالتطبيق؟ بلسة بلا حذفه.  
3,النت عندي ببطئ كتير اليوم، يمكن الكابل بحاجة لتصليح.  
4,فيه تحديث جديد للعبة، بدي أنزلها عشان أجربها.  
5,بدي أتأكد إنو الرابط مو مفيرس قبل ما أضغط عليه.  
6,فيه تطبيق لطلب الأكل، بتحس انو مريح كتير.  
7,فيه برنامج تعليمي جديد على النت، سمعت إنو ممتاز.  
8,لازم نعمل ضبط للراوتر لأنه الشبكة عم تفصل.  
9,اليوتيوب كتير فيه فيديوهات عن أحدث التكنلوجيا.  
10,فيه هالموقع ببيع دومين بأسعار مناسبة.  
11,جربت برنامج المراسلة الجديد، كتير سريع وسهل.  
12,يلا نفتح محادثة جماعية وننظم الرحلة.  
13,سمعت عن جهاز جديد يعتبر ثورة بتكنولوجيا الهواتف.  
14,شفت الترويج لآخر سلسلة من الأجهزة الذكية؟  
15,الكمبيوتر صار ثقيل، لازم أفضي عليه شوية مساحات.  
16,الواي فاي عند جارنا أسرع بكتير، بدي أسأله عنه.  
17,خليت شغلي عالايميل، بدي أرجع أتابع مع العميل.  
18,الذكاء الاصطناعي عم يتطور بسرعة، بدي أتعلم عنه أكثر.  
19,حطيت صورتي عالإنستغرام ونزلت عليها هاشتاج.  
20,فتح الكمبيوتر ع طول بس الجديد بياخد وقت أطول.  
21,شوف هالميمز، كتير طريفة وفرت عليي ضحك.  
22,هلأ صار بإمكاني أتابع الأكاديميات أونلاين.  
23,يا معلم، فين أشتري كوفر للجوال؟  
24,وعدت رفيقي أساعده بتصميم صفحته على الفيسبوك.  
25,تطبيق الموسيقى اللي عجبني جديد، لازم تسمعه.  
26,بصراحة، الفيديوهات القصيرة عم تنجح بشكل كبير.  
27,شفت الشرح عاليوتيوب؟ ساعدني كتير بحل مشكلتي.  
28,مبسطت لأنو أخي سجل بالبرمجة، فرصة كبيرة.  
29,محتاجين نجرب أسلوب التسويق الجديد عالإنترنت.  
30,كتبت شوية خواطر عالمدونة، وصرت أحس انو عندي جمهور.  
31,مرتي طلبت جهاز المطبخ الجديد، هي بتحب التكنلوجيا.  
32,عندك فكرة عن كيف أعدل على صورة باستخدام التطبيق؟  
33,تطبيق الرياضة اللي نصحوني فيه كتير مفيد.  
34,أنت بتستخدم تقنية التعرف على الوجه؟  
35,بدي أشتري لابتوب جديد، شو تنصحوني؟  
36,البرامج المليانة محتوى مفيدة للطلبة جديدة كتير.  
37,هلأ صار في تطبيق لتسهيل المواصلات، جربته؟  
38,صرت أستخدم المنبه بالهاتف ليل نهار.  
39,التيك توك كيف انتشر بهالبساطة؟  
40,فيه خوارزمية جديدة بتحلل البيانات بسرعة.  
41,من يومين تعرفت على برنامج خلاص بيشرح كلشي.  
42,سألت صديقي عن أوضاع الانترنت عنده، بس لا حياة لمن تنادي.  
43,ما شاء الله على الجيل الجديد، بتقنياتهم مجانين!  
44,خسرت المساحة عالتخزين، بدي أحذف حاجات.  
45,خليت هالصورة بالاستوديو، كانت بوقتها.  
46,شو رأيك بهالموقع للألعاب؟ عنجد فيه تنوع.  
47,أحياناً أستعمل السيري لحتى أكتب بسرعة.  
48,صديقة إلي بتشتغل برمجة، ودايمًا عندها أفكار جديدة.  
49,بدي أتعلم البرمجة، سمعت إنه مهم هالأيام.  
50,سجلت بحصص م_online، وبتمنى أستفيد منهن.  
51,صار عندنا تلفزيون ذكي، يعني كل شي عالنت.  
52,الأمن السيبراني هاليومين صار موضوع مهم.  
53,بصراحة، التعليقات على السوشيال ميديا مضحكة.  
54,بقدر أتابع كل الدورات أونلاين، فكرة مش بطالة.  
55,إذا انسدت باب الجوال، بشتغل أونلاين بلا ما أخرج.  
56,بدي أعمل جولة بالمسرح الافتراضي، حبيت الفكرة.  
57,شفت انستغرام صار فيه ميزات جديدة؟ مفيد!  
58,ياريت كل البرامج تكون سهلة بهاي الطريقة.  
59,صرت أتابع ويوتيوبرز بها السلبية، شو برأيك؟  
60,بالعادة، ألتقط كل ذكرياتي عالتليفون.  
61,هالجهاز ممكن يحفظ كل شيء، متخيل!  
62,إذا مللت، بس افتح التطبيق وراح تفرح.  
63,ما في أحسن من الموسيقى لما أشتغل على المشروع.  
64,حسّيت حالي انغمرت بالتكنولوجيا، بس بحبه.  
65,تعلم اللغة الجديدة صار أسهل عالنت.  
66,هالتطبيق رائع، بساعدني أذكر كل مواعيدي.  
67,دربت حالي على تنظيم الشغل باستخدام التكنولوجيا.  
68,بدي أفتح صفحتي الخاصة على الويب.  
