ID,Text
1,خلصت مسلسل عروس بيروت، شو مسلسل تاني بتنصحني فيه؟  
2,وين صرت بحلقة بيت الطين؟  
3,طالع الشغل الجديد لهبة طوجي شي؟  
4,ليش ما نحضر فيلم بالسينما الجمعة الجاي؟  
5,مين نجمك المفضل بهالفترة؟  
6,سمعت آخر أغنية لأليسا؟ شو رأيك فيها؟  
7,حضور حفلة ماجد المهندس الجمعة، مهتم؟  
8,حبيت أتصالات كريستيانو مع النصر؟  
9,شو آخر قصة تفاعلية عجبتك عالتيك توك؟  
10,عمري ما فكرت أتابع مباريات الكريكيت، تستاهل؟  
11,كيف كان عرض مسرحية مسرح الجيرة؟  
12,شو آخر فيلم حضرته بNetflix؟  
13,مين الممثل يلي مفاجئك بأدواره هالسنة؟  
14,تابعت المطرب فلان عالإنستغرام، رهيب!  
15,شو رأيك بأداء محمد رمضان بآخر عمل؟  
16,متحمس لمهرجان الجاز بلبنان؟  
17,بتعرف شو صار بآخر حلقة من باب الحارة؟  
18,نواعم الصوت بالبيت بيحكي عن نجاح فيلم كابتن ماجد.  
19,الليل سهرة بدنا نهبّط ببرنامج The Voice.  
20,دهبنا على المسرح الروماني وحضرنا فعاليات الفحيص.  
21,"شو رأيك بغنية ""يا حبيبي"" لنانسي؟  "
22,مرت فترة من غير ما نسمع لجوليا.  
23,قديش اعتياد على كركتر إيميه صياح بالدور الشرير؟  
24,محمد عساف لسه محافظ على أجواءه الرائعة؟  
25,من أروع الأفلام السورية، مرحبا يا ماما.  
26,كيف كانت أصداء الحلقة الأخيرة من الكندوش؟  
27,في بوادر تحضير سيريس تاريخي جديد من ليالينا.  
28,الجزء الثاني من الهيبة فرجيني شيطان محبوب.  
29,حضرت لمسرحية بتجنن ببيروت الأسبوع الماضي!  
30,مبين عليك متابع جديد لدراغون بول.  
31,بتابع الثنائي عمرو دياب ونانسي؟  
32,خسارة برشلونة الأخيرة حزنتك؟  
33,هاي الكوميديا السورية بتخفف الهمّ.  
34,منو ناشط ضخمة مثل رامز جلال؟  
35,شو تعليقك على ستايل محمد حداد بالبث المباشر؟  
36,الأسبوع الجاي أنا هون عالحجر، تنصحني بشي أفلام؟  
37,سمعت عن مهرجان قرطاج السنة؟  
38,شو رأيك بثقل أداء دريد لحام بالشاشة الكبيرة؟  
39,حلقتك المفضلة من تيمور؟  
40,بينشأ نقاشات ثرة على برامج مثل Carpool Karaoke.  
41,إطلالة دائمة لمقدمة صوت الضخم صباح الليلة.  
42,كاتبة السيناريو العربي، تقطع شوطا لا يطاق.  
43,قاعد بتخيل كيف بيكون لقاء تلفزيوني بين فائق المدرس ومونرو.  
44,شو رأيك بجديد حمزة نمرة؟  
45,كان فيه عرض شيق بالقاهرة لمسرحية سوريا وقصصها.  
46,تابعت الموسم الأخير من أمير الكوميديا؟  
47,نسيت مع مصطفى فهمي وريهام قصص الداتا.  
48,آخر فلترة لمونير عم تبهرني.  
49,خطوة جريئة في شارة البداية، نجمات الدراما.  
50,برامج الرقص تجدد طاقة المشاهدة.  
51,فجين عاطفي، هدم عرش بالموسيقى.  
52,جميل مبادرة دعم الشباب إن نبرى العلاقات الثقافية.  
53,نجمات التشويق شرق وغرب الشاشة.  
54,من أجمل الأغاني ما بعد الرشا.  
55,عقدة في محور فلم الأسد طحنون للتهزيئة.  
56,صدع كبير لقوة الحوار بين جوالين بالمسلسل.  
57,فاشن سوري آخذ الجمال للعالمية.  
58,من المتابع لرحلة صعود “من التسقيط”.  
59,حفلة أوبرالية بديعة، شرف لاتساع الأفق الفني.  
