ID,Text
1,يا ريتني كنت معاكم في الرحلة دي.  
2,الجو هنا حلو جدًا النهاردة، عاوزين نخرج؟  
3,ممكن تديني شوية مية، أنا عطشان أوي.  
4,إحنا لازم نروح السوق قبل ما يقفل.  
5,أنت جبت الفلوس اللي اتفقنا عليها؟  
6,النهاردة في عزومة عند خالتي، تيجي معايا؟  
7,بصراحة، الأكل هنا طعمه حكاية!  
8,انت شفت المباراة امبارح؟ كانت ملحمية!  
9,أنا مش قادر أستنى العيد، نفسي في الكعك.  
10,خلي بالك من نفسك وانت راجع بالليل.  
11,الناس هنا طيبين أوي، بتحس كأنك في عيلتك.  
12,كل يوم الصبح بشرب فنجان قهوة مع البسكوت.  
13,الوقت بيجري بسرعة، مش حاسس بيه خالص.  
14,إحنا محتاجين نعمل حفلة صغيرة في البيت.  
15,صوت المزيكا طالع من كل حتة، الدنيا فرحانة.  
16,مفيش حاجة أحلى من لمّة الأصحاب.  
17,انت عايز تروح فين في الإجازة الجايّة؟  
18,الشارع زحمة النهاردة، مش عارف أمشي.  
19,لازم تشوف الفيلم اللي طالع دلوقتي، جامد أوي.  
20,هي مشغولة شوية، هترد عليك بعدين.  
21,يلا نروح نعمل شوية تسوق قبل ما نرجع.  
22,الناس هنا بتحب الضحك والهزار، يعمّروا اليوم.  
23,النهاردة يوم الخميس، يعني قعدتنا مع بعض.  
24,ممكن تديني شوية معلومات عن المكان؟  
25,الأكل المصري هو أحلى أكل في العالم.  
26,الولد ده زكي أوي، عاوزين نستفيد منه.  
27,أنا لازم أعمل رياضة أكثر، حاسس بالتعب.  
28,الليلة دي في حفلة في النادي، هتروح؟  
29,تعال شوف الشجرة اللي زرعناها، كبرت أوي.  
30,أنا بحب أسمع الأغاني القديمة، بتحسسني بالحنين.  
31,ممكن نروح القهوة بعد الفطار؟  
32,عندك فكرة عن المسلسل الجديد؟  
33,عزومة العيلة دي بتكون أحلى حاجة في الأسبوع.  
34,شفت البازار اللي في وسط البلد؟ تحفة!  
35,أنا عاوز أتعلم شوية مصطلحات جديدة.  
36,الجو حلو جدًا، يلا نخرج نتمشى شوية.  
37,دي أول مرة أسمع عن المكان ده، شكله جميل.  
38,أحب أروح البحر في الصيف، مش ممكن!  
39,ممكن تساعدني في واجبي، أنا محتاج مساعدة.  
40,الأكل في البيت أحلى بكتير من المطاعم.  
41,هل جربت الأكل الشارع؟ طعمه مش هيتنسي.  
42,الجو هنا فيه روح حلوة، يحسسك بالسعادة.  
43,إنت عارف إن النهاردة عيد ميلاد صاحبك؟  
44,أنا كنت في زيارة لصديقي وخلصت وقت حلو.  
45,الأسواق هنا مليانة حاجات جميلة ورخيصة.  
46,تعالى شوف الفيديو اللي اتصورت فيه مع العيلة.  
47,النهاردة هعمل شوية ملوخية، تحب تجيب معايا؟  
48,أحب أفطر فول وطعمية كل يوم، حكاية.  
49,المدرسة قربت تفتح، لازم أجهز نفسي.  
50,أنا مش قادر أنام، عندي أفكار كتير في دماغي.  
51,الوقت ده هو أحلى وقت للفسحة مع الأصحاب.  
52,أنت مش معقول، كل مرة تتأخر عن الموعد!  
53,العيال في الشارع بيلعبوا ويضحكوا، فرحة.  
54,أنا بحب أسمع القصص القديمة من جدتي.  
55,النهاردة الجو شتاء، محتاج ألبس جاكت.  
56,الأسرة هي كل حاجة في حياتنا، صح؟  
57,اللحمة اللي عند الجزار طازة أوي، لازم تجيب.  
58,أحب أروح السينما مع العيلة في العطلة.  
59,الطبيعة هنا مدهشة، بحب أتمشى في البارك.  
60,الأصوات في الحارة بتجيبلي الذكريات.  
61,يلا بينا نكمل شغلنا، عندنا شغل كتير النهاردة.  
