ID,Text
1,أنا رايح السوق أشتري شوية فواكه.  
2,النهاردة الجو جميل جداً.  
3,أنت تحب تشرب شاي ولا قهوة؟  
4,فين المكان اللي اتفقنا عليه؟  
5,أنا محتاج أروح المكتبة أدرس.  
6,الناس هنا طيبين جداً.  
7,هل سمعت الأخبار الجديدة؟  
8,أنا بحب أسمع الموسيقى في وقت الفراغ.  
9,الأكل في المطعم ده لذيذ جداً.  
10,ممكن تقولي على الطريق للوصول؟  
11,إحنا هنجتمع عند بيت عمي.  
12,أنت بتشتغل في أي مجال؟  
13,الطفل ده شقي جداً.  
14,الليلة عندنا حفلة كبيرة.  
15,أنا بحب أقرأ الكتب قبل النوم.  
16,المدرسة بتفتح الساعة 8 صباحاً.  
17,هل جربت الأكل المصري التقليدي؟  
18,البيوت هنا كلها جميلة.  
19,أنا عايز أتعلم رقص الشرقي.  
20,الأسعار دلوقتي غالية جداً.  
21,أنت بتحب السفر ولا تفضل البقاء في البيت؟  
22,ممكن تساعدني في حل الواجب؟  
23,الحديقة كانت مليانة زهور.  
24,الكتاب ده ممتع جداً.  
25,أنا بحب أمارس الرياضة كل يوم.  
26,هل تحب الأفلام الكوميدية؟  
27,الطقس في الصيف حار جداً.  
28,أنا بشوف أصحابى كل أسبوع.  
29,الرحلة كانت رائعة جداً.  
30,أنت عندك حيوانات أليفة في البيت؟  
31,الأسواق هنا تبيع كل شيء.  
32,أنا بحب أتعلم لغات جديدة.  
33,المدينتين مختلفتين تماماً.  
34,السماء كانت مليانة نجوم.  
35,الموسيقى بتخلي المزاج أحسن.  
36,هل تحب الطبخ؟  
37,الأطفال كانوا بيلعبوا في الشارع.  
38,الفيلم اللي شفناه كان حزين.  
39,أنا عايز أروح السينما النهاردة.  
40,هل ممكن نذهب للبحر يوم الجمعة؟  
41,الحديقة كانت مليانة أطفال.  
42,القهوة هنا طعمها ممتاز.  
43,أنا بحاول أتعلم السباحة.  
44,الشارع كان زحمة جداً.  
45,الأكل في العزومة كان لذيذ.  
46,أنا أحب التمشية في المساء.  
47,هل عندك فكرة عن المكان الجديد؟  
48,البيت ده قديم جداً.  
49,أنا بحب الزهور الملونة.  
50,الدرس كان صعب شوي.  
51,العائلة بتجمعنا في المناسبات.  
52,الشمس طلعت بدري النهاردة.  
53,أنا بحب أزور الأماكن التاريخية.  
54,المدينة مليانة معالم سياحية.  
55,هل تحب القراءة قبل النوم؟  
56,الحياة هنا مليانة تحديات.  
57,نفسنا نتقابل قريب.  
58,الشجرة دي كبيرة جداً.  
59,أنا بحلم أسافر أوروبا يوماً ما.
