ID,Text
1,قلبي بيوجعني من الأخبار اللي بسمعها عن العالم.
2,النهاردة الجو حلو أوي، حابب أخرج شوية.
3,صرت مش قادر أتابع كل الحاجات اللي بتحصل في السوشيال ميديا.
4,أيوا، شفت الفيديو اللي انتشر بخصوص الحدث ده؟
5,الناس كلها بتكلم عن التريند الجديد على الفيسبوك.
6,الجو حر موت لدرجة إننا مش قادرين نخرج.
7,عندك فكرة عن اللي حصل في البرلمان؟
8,المباراة الجاية مهمة جدا، لازم نشجع فريقنا.
9,كل يوم أخبار جديدة عن أسعار الدولار، مش عارفين هنوصل لفين.
10,العيد قرب، إيه بقى خططك للعيد؟
11,بصراحة، أنا متشوق أسمع الأخبار عن الانتخابات.
12,النهاردة كان فيه مطر حلو بعد فترة طويلة.
13,من كام يوم شفت هاشتاج يتكلم عن القضايا الاجتماعية.
14,الناس بقت تحب تتابع الأخبار عبر السوشيال ميديا أكتر دلوقتي.
15,سمعت إنهم حيسووا حفلة كبيرة في التحرير.
16,الجو في الصيف بقى لا يطاق فوق الخيال.
17,كل ساعة في خبر جديد، الواحد بقى محتاج جريدة تانية.
18,عندك أي أخبار عن الاتحادات الرياضية؟
19,لعبة الشدة مع الأصحاب بتكون تحفة في الأوقات دي.
20,لما قريت الخبر حسيت إن قلبي تكسر.
21,دلوقتي الكل بيتكلم عن التطورات السياسية.
22,التريند اللي فوق دلوقتي عن الأغاني القديمة.
23,إحنا عايزين خلاص نخرج من فكرة الحجر الصحي.
24,النهاردة الجمعة، بتنزلوا مكان جديد ولا إيه؟
25,شفتوا فيديوهات الناس اللي قدموا في المسابقة؟
26,الأخبار عن الطقس دايمًا بتبقى مش مريحة.
27,جيني رسالة عن حاجة جديدة حتبدأ بكرة.
28,حاجات كتير بتتغير بسرعة، ومش لاقيين وقت نفكر.
29,قالوا إن فيه شائعات عن رحيل لاعب كبير.
30,الدنيا بقت عجيبة، كل يوم خبر يخلينا مش مصدقين.
31,فيديوهات الحيوانات اللي بتنزل دايمًا بتضحكني.
32,أنا بحب أتابع الأخبار المهمة في الصباح.
33,فيه مهرجان فني هايكون قريب في المدينة.
34,الصحافة لازم تطلع ببيانات دقيقة عن الوضع.
35,التحليلات السياسية بتخلي الواحد يشك في كل حاجة.
36,هتتفرج على المباراة ولا هتفضل في البيت؟
37,تويتر بقى مكان للمناقشات الحادة بين الناس.
38,كل الأصدقاء يشاركوا معايا رأيهم في الموضوع ده.
39,عشرات الناس بيتجمعوا في ساحة التحرير للاحتفال.
40,غدًا هيكون الجو غائم، يفضل نجيب شمسية معانا.
41,سمعت إنه فيه مظاهرة حتنظم بكرة.
42,الشمسيات اللي في البلد مش كفاية عشان الحر.
43,يمكننا نتجمع في المقهي ونتبادل الأخبار.
44,زمان كان الجريدة الوحيدة المصدر، دلوقتي كل حاجة أونلاين.
45,إيه رايك في الموضوع اللي شاغل بال الناس دلوقتي؟
46,لما بسمع الأغاني القديمة، بحس بن nostalgia.
47,الواحد لازم يتصرف بحذر مع الأكاذيب على الإنترنت.
48,خبر غريب عن الحادث اللي حصل في الشارع.
49,الحياة السياسية تتغير بسرعة، وإحنا مش واخدين بالنا.
50,هل لديك أي اقتراحات لحدوث تغييرات إيجابية؟
51,عايز أتابع الأحداث السياسية أولا بأول.
52,الوقت ضيق، وكل واحد مشغول بحياته.
