sentID.BTEC,split,lang,sent,label
7671,corpus-6-test-corpus-26-train,MUS,خذني إلى طريق ابي، من فضلك.,Gulf
2118,corpus-6-train,RAB,كا نتمنى هاد الرحلة دوز مزيان.,Maghrebi
9862,corpus-6-test-corpus-26-train,MOS,"الطريق للنجاح هو ""جنمياكو، "" صح؟",Iraqi
11549,corpus-6-train,CAI,ممكن تتكلم بشويش شوبه؟,Egyptian
15073,corpus-6-test-corpus-26-test,ALG,شحال سعر التوصيلة؟ تقدر تكتبلي سعر التوصيلة على ورقة؟,Maghrebi
7743,corpus-6-dev,RAB,باقي معرفتش لعنوان ديالي. ولكن عوال نمشي ل شي وطيل ف سا فرانسيسكو.,Maghrebi
8844,corpus-6-test-corpus-26-test,AMM,كم سعر الفطر الطبيعي؟,Levantine
5250,corpus-6-test-corpus-26-train,ALX,أوه، أوكى. فاهم. انا هاجى مكانك.,Egyptian
19413,corpus-6-test-corpus-26-train,BAG,مو مشكلة. وين الخبز؟,Iraqi
4364,corpus-6-test-corpus-26-test,ALX,الفسحة بتاعتنا المفروض تكون ممتعة جدا.,Egyptian
5250,corpus-6-test-corpus-26-train,BAS,اوه، اوكي. فهمت. راح اجي لمكانك.,Iraqi
19469,corpus-6-test-corpus-26-train,RAB,فين نلقى شي سوبير مارشي؟,Maghrebi
12054,corpus-6-test-corpus-26-train,AMM,شخيرك مزعج.,Levantine
11478,corpus-6-test-corpus-26-train,JED,فيه أي اكل غير انه يكون حار؟,Gulf
2528,corpus-6-test-corpus-26-train,ALE,في شي بنوك قريبة عالمحطة؟,Levantine
11478,corpus-6-test-corpus-26-train,ALX,فى أى أكل مش سخن وحراق أوى؟,Egyptian
3040,corpus-6-test-corpus-26-train,ASW,ايه الأهم للشعب اليابني، رأس السنة ولا عيد الميلاد؟,Egyptian
16976,corpus-6-test-corpus-26-train,MUS,أبغا أكمام هذه جاكيت رياضي اطول.,Gulf
13184,corpus-6-test-corpus-26-train,ALG,نقدروا نهدروا فيه في قهوة.,Maghrebi
13347,corpus-6-test-corpus-26-train,AMM,طيب، بس إنت فكر كم المدة اللي راح يكول فيها شغله لو سأل سؤال إضافي لكل واحد. يلا تعال، خلينا نسرع وناخد شنطتا. لازم نروح بعدها على تصريح الجمارك.,Levantine
15292,corpus-6-test-corpus-26-train,MUS,قل لي اسخن نادي الريغي في نيويورك.,Gulf
13134,corpus-6-test-corpus-26-train,BAG,دير بالك، تره الجو كولش متقلب بالجبال.,Iraqi
15220,corpus-6-train,BEI,إي، تفضل.,Levantine
14737,corpus-6-test-corpus-26-train,ALX,فى أى صناديق بريد قريب من هنا؟,Egyptian
10997,corpus-6-test-corpus-26-train,BAG,اريد احول على برج لندن.,Iraqi
10102,corpus-6-test-corpus-26-train,AMM,أعداد كبيرة من الناس بروحوا على الشط خلال هاد الفصل.,Levantine
3859,corpus-6-test-corpus-26-train,SAL,شو نوع الخبز اللي عندك؟,Levantine
4961,corpus-6-train,CAI,فين جراج الاتوبيسات؟,Egyptian
3557,corpus-6-test-corpus-26-train,ALX,حرامى. امسكه.,Egyptian
5898,corpus-6-test-corpus-26-train,RAB,واخا تعطيني تيليفونك نعيط بيه، عفاك؟,Maghrebi
3961,corpus-6-test-corpus-26-train,FES,واش كاين شي مطعم تايلاندي قريب؟,Maghrebi
15292,corpus-6-test-corpus-26-train,RIY,علمني افضل نادي ريغي في نيويورك.,Gulf
14763,corpus-6-test-corpus-26-train,AMM,هو عمره تلاتين سنة.,Levantine
13027,corpus-6-test-corpus-26-train,DAM,رح انط من هون؟,Levantine
12254,corpus-6-test-corpus-26-train,BAG,تعرف شلون تستخدم تلفون؟,Iraqi
4501,corpus-6-test-corpus-26-train,ALX,أد إيه مراتك طباخة رائعة.,Egyptian
7814,corpus-6-test-corpus-26-train,MOS,اغيد هذا معبا.,Iraqi
15185,corpus-6-train,CAI,آه، عندنا. عايز نوع إيه؟,Egyptian
13769,corpus-6-test-corpus-26-train,CAI,في شغل. أنا عندي ارتباط شغل هناك.,Egyptian
7693,corpus-6-test-corpus-26-train,BAS,انا متاكد راح احصل حجز.,Iraqi
17886,corpus-6-test-corpus-26-train,DOH,والله، ما عندنا وقت. نكمل هالنقاش يوم الخميس الساعة وحدة؟,Gulf
12193,corpus-6-test-corpus-26-train,BAG,طوكيو صفر ثلاثة أربع تسعات أربعة خمسة ستة سبعة.,Iraqi
7248,corpus-6-test-corpus-26-dev,JED,فيه محطة بنزين بعد شارعين من هنا.,Gulf
2505,corpus-6-test-corpus-26-train,FES,الطوبيس موجودة هنا.,Maghrebi
9710,corpus-6-test-corpus-26-test,JED,انقفل عليا.,Gulf
19651,corpus-6-test-corpus-26-test,BAG,هذا مو شي صعب ولا غامض.,Iraqi
9468,corpus-6-train,CAI,مين اللي نحت ده؟,Egyptian
18917,corpus-6-test-corpus-26-train,RIY,بس زيت و خل بيكون جيد.,Gulf
16976,corpus-6-test-corpus-26-train,ALE,بدي كمام هالجاكيت الرياضي يتطولوا.,Levantine
5263,corpus-6-test-corpus-26-train,RIY,كوب قهوة، لو سمحت.,Gulf
19479,corpus-6-test-corpus-26-train,ALG,شحال من محطة حتى نبدلو؟,Maghrebi
13748,corpus-6-test-corpus-26-test,SAL,بدي فندق ارخص .,Levantine
7787,corpus-6-train,CAI,متهيألي اني لمست شعبي مرجانية سامة .,Egyptian
15993,corpus-6-train,CAI,عايز الهدوم دى تتكوى.,Egyptian
15220,corpus-6-train,CAI,أيوة، إتفضل.,Egyptian
11240,corpus-6-test-corpus-26-train,RIY,عندك شالات حريرية؟ ادور على هدية لزوجتي.,Gulf
16723,corpus-6-test-corpus-26-train,BAG,ممكن تنطيني طابع ابو خمسة سنت؟,Iraqi
6477,corpus-6-train,RAB,كاين شي بلاصا فين نخلي لباعءغاج ديالي؟,Maghrebi
19676,corpus-6-train,RAB,حوت مقلي.,Maghrebi
8291,corpus-6-test-corpus-26-dev,ALX,أنا بسأل لو فى ترابيزة متاحة قريب من الشباك لسبعة الليلة دى.,Egyptian
4742,corpus-6-test-corpus-26-dev,RIY,ابغى مصباح.,Gulf
19643,corpus-6-test-corpus-26-test,BAS,لا، رجاءا لا. ممكن توفر اسألتك من اخلص حديثي، من اسأل عنهم؟,Iraqi
11240,corpus-6-test-corpus-26-train,ALX,عندك سكارفات حرير؟ أنا بدور على هدية لمراتى.,Egyptian
18640,corpus-6-test-corpus-26-train,BAG,لعشرة أيام.,Iraqi
3961,corpus-6-test-corpus-26-train,JER,في مطعم تايلندي قريب من هون؟,Levantine
2425,corpus-6-test-corpus-26-train,ALG,التعريف؟ أوه، ايه. يساعدك جواز السفر؟,Maghrebi
19651,corpus-6-test-corpus-26-test,BAS,ماكو شي صعب ولا غامض.,Iraqi
5274,corpus-6-train,DOH,تحويل، لو سمحت.,Gulf
8280,corpus-6-test-corpus-26-train,ASW,كنت عايز احجز ميعاد عند الدكتور.,Egyptian
19103,corpus-6-test-corpus-26-train,ASW,معلش دلوقتي إنت ممكن تطلب من القايمة الليلية بس.,Egyptian
12240,corpus-6-test-corpus-26-train,JER,بتقدر تساعدني ألاقي حديقة الحيوانات؟,Levantine
9367,corpus-6-test-corpus-26-train,ALE,بدي أشتري هدايا تذكارية. في شي محل مناسب قريب هون؟,Levantine
19927,corpus-6-train,DOH,شكلك مزكم.,Gulf
4644,corpus-6-test-corpus-26-test,ALX,فى جولة بعد الضهر؟,Egyptian
19346,corpus-6-test-corpus-26-train,JER,بقدر أترك شناتيي معك للساعة وحدة؟,Levantine
10102,corpus-6-test-corpus-26-train,ALE,كتير ناس بروحوا عالشاطي بالموسم.,Levantine
10830,corpus-6-test-corpus-26-train,ASW,فين المكان اللى مش مسموح فيه التدخين؟,Egyptian
692,corpus-6-train,BEI,فيي أخد وصل، عمول معروف؟,Levantine
18441,corpus-6-test-corpus-26-train,BAS,اكدر اشيل مواعينك؟,Iraqi
16746,corpus-6-test-corpus-26-train,MOS,اغيد شويه عطر.,Iraqi
11058,corpus-6-test-corpus-26-train,BAS,اريد، بس اسف ما اكدر اسويه هالمرة.,Iraqi
16071,corpus-6-train,CAI,أنا عايزه يتبعت اكسبريس.,Egyptian
1213,corpus-6-test-corpus-26-train,MOS,اغيد دونات وحدي، رجاءا.,Iraqi
4501,corpus-6-test-corpus-26-train,ALG,زوجتك طباخة هايلة.,Maghrebi
19467,corpus-6-test-corpus-26-train,BAG,من الأفضل تدخل المستشفى مالتنا.,Iraqi
9862,corpus-6-test-corpus-26-train,DAM,"طريق النجاح هوة ""جينمياكو""، صح؟",Levantine
19840,corpus-6-test-corpus-26-test,AMM,بتضمن الضريبة؟,Levantine
8516,corpus-6-test-corpus-26-train,RAB,باقي كايتقدا ف بوند ستريت.,Maghrebi
2083,corpus-6-test-corpus-26-train,ALE,شوف التعليمات على علبة الأكل المفضاية من الهوا.,Levantine
2100,corpus-6-test-corpus-26-test,RIY,خطف محفظتي و هرب.,Gulf
5848,corpus-6-test-corpus-26-train,JED,الشكل موجود بمقاس تمانية وعشرين، وواحد وتلاتين وخمسة وتلاتين سنتيميتر.,Gulf
19754,corpus-6-test-corpus-26-train,DAM,شكراً لمشاركة آرائك الفريدة معنا.,Levantine
6205,corpus-6-test-corpus-26-train,MOS,وين لوحات مونيتس؟,Iraqi
3685,corpus-6-test-corpus-26-train,SAL,بتقدر تحط عدسات طبية على هدول النظارات الشمسية ؟,Levantine
18155,corpus-6-test-corpus-26-train,CAI,ممكن تضيق البنطلون ده؟,Egyptian
11478,corpus-6-test-corpus-26-train,SAL,في اي اكل مش حار كثير و مبهر؟,Levantine
4894,corpus-6-test-corpus-26-train,RIY,اوك. باخذ وعاء متوسط و كرة رز.,Gulf
8844,corpus-6-test-corpus-26-test,BAG,شكد الفطرالتازه؟,Iraqi
8456,corpus-6-test-corpus-26-train,SAL,معي جواز سفري و بطاقتي الصراف بشنتتي .,Levantine
12878,corpus-6-test-corpus-26-train,RIY,تقدر تكتب عنوان التواصل هنا؟,Gulf
15206,corpus-6-test-corpus-26-train,JER,ممم. ما بتشتغل، صح؟ بتقدر تنتقل على كرسي فاضي، ازا بتحب.,Levantine
3176,corpus-6-test-corpus-26-train,BAG,شكد الكراجية بالساعة؟,Iraqi
15185,corpus-6-train,RAB,نعم، عندنا. اشمن نوع بغيتي انتا؟,Maghrebi
2591,corpus-6-test-corpus-26-train,MUS,اركض.,Gulf
15095,corpus-6-test-corpus-26-train,ALX,متلمسنيش.,Egyptian
2100,corpus-6-test-corpus-26-test,JER,سرق محفظتي و هرب.,Levantine
9710,corpus-6-test-corpus-26-test,MOS,انا محصوغ بغا غرفتي.,Iraqi
631,corpus-6-test-corpus-26-train,ALG,ويدا حوس عليا كاش واحد، قولوهم بلي راني فالقهوة.,Maghrebi
14232,corpus-6-test-corpus-26-train,CAI,هاجيب واحد حالا.,Egyptian
16833,corpus-6-test-corpus-26-train,MUS,هل لازم اروح إلى المستشفى كل يوم؟,Gulf
13515,corpus-6-test-corpus-26-train,DAM,في حفلة غنائية؟,Levantine
3858,corpus-6-test-corpus-26-dev,JED,أبا خريطة لسان فرانسيسكو والأماكن اللي حولينها.,Gulf
2003,corpus-6-test-corpus-26-train,BAG,اريد قنينة صغيرة نبيذ ابيض.,Iraqi
17381,corpus-6-test-corpus-26-dev,MOS,احنه غاح نتشارك.,Iraqi
3705,corpus-6-test-corpus-26-train,ALE,شقد لطيفين هالكلاب. أي فصيلة؟,Levantine
9150,corpus-6-test-corpus-26-train,MUS,هل يمكنك تعتني بها من التاسعة صباحا إلى حوالي ثالثة؟,Gulf
14094,corpus-6-test-corpus-26-train,JER,قديش بتكلف تزكرة الرحلة رايح جاي لأوكسفورد؟,Levantine
5914,corpus-6-test-corpus-26-train,ALE,خرج أحكي مع آنسة براون؟,Levantine
4358,corpus-6-test-corpus-26-train,ALX,إدخل. من فضلك.,Egyptian
19927,corpus-6-train,RAB,كايبان بحال اللي فيك الرواح.,Maghrebi
1134,corpus-6-train,CAI,من فضلك وديني هناك .,Egyptian
8456,corpus-6-test-corpus-26-train,JER,معي جواز سفري و الفيزا في شنتتي.,Levantine
13660,corpus-6-test-corpus-26-train,ALG,لازم نزيدو نجتمعو مرة أخرى.,Maghrebi
5658,corpus-6-train,DOH,ابغي اقعد الحين.,Gulf
9431,corpus-6-test-corpus-26-train,ASW,إتفضل واحد، حضرتك.,Egyptian
