,Text,label
0,الأزهار منسقة بطريقة رائعة.  ,Gulf
1,الناس كيهتموا بالبرامج ديرماجلون وماكتشفناها لحدود الساعة؟,Maghrebi
2,الأغنية دي بتفكرني بذكريات المدارس.  ,Egyptian
3,ودوني ودوني لديرتي، أنا أفتقدك يا ديرتي الحبيبة.  ,Gulf
4,حاسبتنا تشتغل بسرعه اذا نظفت الذاكرة مالها.,Iraqi
5,التريندات دايمًا سريعة على تويتر.  ,Egyptian
6,الغريب إن الكهربا قاطعة كل يوم.  ,Egyptian
7,أنا لسه بأتعلم الريزوتو، تعرفي تعملينه؟,Egyptian
8,شفت التحديث الجديد للسناب شات؟ رهيب!  ,Gulf
9,فريق العمل ده متعاون جداً.  ,Egyptian
10,والله راتبي ما يوفي للنص الشهر.  ,Iraqi
11,صدع كبير لقوة الحوار بين جوالين بالمسلسل.  ,Levantine
12,الناس بتحب تشارك لحظاتها على الإنستجرام.  ,Egyptian
13,احتفالات عيد الميلاد كانت ممتازة.  ,Egyptian
14,قديش الطريق من عمان لمدينة البتراء؟,Levantine
15,يحكيلي عن هالمدينة شفتها أكتر من مرة.,Levantine
16,المولات في الدوحة دايمًا مزدحمة.  ,Gulf
17,مو كلاه سلامة ويانه؟,Iraqi
18,أخويا قرر يكمّل دراسته بره.  ,Egyptian
19,أقولك نعمل أكلة سمك النهارده؟,Egyptian
20,المدرسة بتعمل حفلة لتكريم المتفوقين.,Egyptian
21,التراث العراقي أنمياته دايمًا تلقي استحسان.,Iraqi
22,سولت على الأثمنة، تيقني تفاوضي ولا بلاش.,Maghrebi
23,بس دعوة بسيطة.  ,Levantine
24,متابعين الرياضة يعرفون شكد المنتخب العراقي يهمهم.,Iraqi
25,إيميل جديد جاي من الخدمة خاصني نرد فورا.,Maghrebi
26,قبل لا تسافر لازم تعرّف اللي وياك بالثقافة.  ,Gulf
27,درس الكيمياء طوّل اليوم.  ,Iraqi
28,الأسواق تحولت لمنتدى حياة وبضائع.  ,Levantine
29,السيري، فتحيلي الأغنية ديال المراكش فسبوتيفاي.,Maghrebi
30,المكتب مكيفه براحة ماشاء الله.  ,Iraqi
31,جمعيتنا مستمرة، بعدك وياهم؟  ,Iraqi
32,كلامك دوى لجروح روحي.  ,Maghrebi
33,الأفلام الكلاسيكية دائمًا لها مكان خاص في قلوب المشاهدين.,Gulf
34,تكاليف النقل زادت.  ,Gulf
35,وحشتني ذكريات السفر، لسه بدفع لهم.  ,Egyptian
36,كنستعمل تطبيق باش نقارن الأثمنة فالسوق.,Maghrebi
37,اشتهاء نعمل جاج مشوي الليلة.  ,Levantine
38,ذاكر زين حتى تنجح بالامتحان.  ,Iraqi
39,طباعتي للنصوص السريعة تحسنت.  ,Levantine
40,شو رأيك نطلع على مرتفعات صوفر؟,Levantine
41,نروح المحلات ونشتري أدوات للمطبخ النهاردة.,Egyptian
42,الرياضيات مش فاهمها ومحتاج مساعدة.,Egyptian
43,من المتابع لرحلة صعود “من التسقيط”.  ,Levantine
44,برنامج مسابقات محلي يشكل ضجة كبيرة هالفترة.,Iraqi
45,بغيت ندير كمبيوندي، كيدايرا الأمور؟,Maghrebi
46,الامور صعبة شوي؟ بس تستاهل!,Iraqi
47,واش جربتي ركوب الجمال فمرزوكة؟  ,Maghrebi
48,انسوي لك خطط للويكند؟ في حفلة موسيقية حلوة بالمدينة.  ,Gulf
49,مقبول وغريب جدة نعذره كل صيف.  ,Egyptian
50,في مجموعة جديدة من الأفلام المثيرة على الإنترنت.,Egyptian
51,العلاقة بدون ثقة تعب للنفس.,Egyptian
52,في فكرة حلوة أحسن بها بيتي، جبت مجلات للديكور.,Egyptian
