ID,Text
1,أزيك يا عم أحمد؟ عامل إيه النهاردة؟  
2,والله صحتك عاملة إزاي؟ أتمنى تكون كويس.  
3,أنا شايفك زعلان، في حاجة مضايقاك؟  
4,النهاردة عندي اجتماع مع الأصدقاء في الكافيه.  
5,إمتى آخر مرة قابلتنا يا مصطفى؟  
6,الأولاد كبروا بجد، عايز أجيبهم في مناسبة الشهر الجاي.  
7,حمد الله على سلامتك بعد العملية، كنت قلقان عليك.  
8,سوسو جابت لنا معاك مفاجأة حلوة!  
9,مراتي جابت لي هدية بمناسبة عيد ميلادي، فرحتني بشكل.  
10,أنت مش هتعزمنا على الفرح بتاعك؟  
11,بيتنا مفيهوش غير ضحك وهزار طول الوقت.  
12,كل ما أروح الجيم، بحس إني مبسوط أكتر.  
13,زملائي في الشغل هما أكتر ناس بيدعموني.  
14,أنا بحاول أتعلم أكتر عن الصحة النفسية.  
15,الحتة دي في المدينة فيها إقبال كبير على الاستجمام.  
16,يا ترى عندك فكرة عن موضوع زفاف سارة؟  
17,كان عندي عزومة عند صحابي أول أمس، اتبسطت جداً.  
18,عائلتي كلها جت في العيد، والمشاعر كانت حلوة.  
19,أخواتي هما دعم لي في الأوقات الصعبة.  
20,عمتي صحتها تعبت آخر فترة، بناطلبها دايمًا.  
21,كنت عاوز أكلمك عن مشروعك الجديد، بقالك فترة مش معانا.  
22,الحياة أسرع مننا، لازم نستمتع بكل لحظة.  
23,صحابي قالوا لي إن أنا لازم أسافر شوية.  
24,الولاد محتاجين دورات تدريبية خلال الصيف.  
25,الجامعة مش سهلة، بس لازم نكمل.  
26,ممكن زيارات أسرية في العيد، لازم نكون قريبين من بعض.  
27,أختي هتتخرج قريب، لازم نعمل حفلة كبيرة.  
28,الصحة النفسية مهمة، لازم نتكلم دايمًا.  
29,كنت مع صاحبتي في حديقة، والجو كان رائع.  
30,احنا أسرة متماسكة، والسنوات الماضية علمتنا كتير.  
31,حبيبي كالعادة جاء لي بزهور جميلة النهاردة.  
32,فكرت أبدأ رياضة جديدة، محتاجين تنويع.  
33,النهاردة هروح السوق أجيب شوية حاجات للبيت.  
34,أنت من يومين كنت بتحكيلي عن مشروعك، عايز تفاصيل أكتر.  
35,الأسواق فيها كل حاجة دلوقتي، لازم نروح مع بعض.  
36,أنا كنت في المستشفى، بعتذر لو تأخرت عليكم.  
37,أولادي محتاجين شوية وقت للخروج مع أصدقائهم.  
38,الجمعية الخيرية هتعمل نشاط كبير السنة دي.  
