ID,Text
1,سمعت أن اليوم غادي يكون صافي، شنو نقدر ندير فيه؟  
2,فطوري اليوم خديت كسكس مع شوية لحمة و خضرة.  
3,بغيت نطلع للمقهى ونشرب كاس قهوة مع الأصدقاء.  
4,كتعرفي شي مطعم زوين فهاد المنطقة؟  
5,عندك شي وصفة جديدة للغداء؟  
6,بغيت ناخد برة شوية و ندير نزهة فالجبل.  
7,خاصني نشري الخضرة و الفاكهة من السوق.  
8,كيف كتعطي العسل مع التاوة؟  
9,العيالات ديال الحي كيمشيو يقضيو شجر الزعتر.  
10,أنا كنت باغي نجرب نسوي طاجين ديال السمك هاد العشية.  
11,ياك نسيت نخلص الفواتير ديالي، خاصني ندير هاد الشي اليوم.  
12,اليوم غادي نتمشى فالشوارع القديمة و نشوفوا المحلات.  
13,سمعت أنو عندك معرض فنون، موعدو كيكون فاش؟  
14,الليلة غادي نتفرجوا فشي فيلم مغربي مع الأصدقاء.  
15,تقدر تعاونيني فإعداد الحلوة لي غادي نصاوبها؟  
16,الطبيعة هنا زوينة، غادي نروحوا لحديقة.  
17,بغيت ندير شوية الرياضة ونمشي للجيم.  
18,عائلتي كتحب تصنع البغرير، كنديروه كل جمعة.  
19,شكون غادي يجينا اليوم من العائلة؟  
20,عايشين فالصيف هاد العام، بزاف نشاطات ممتعة.  
21,أنتي شنو رأيك فهاذ المطعم الجديد؟  
22,أنا ولادي كيبغيو السناك، خاصني نفكر شنو نحضر ليهم.  
23,غادي نزور خالتي اليوم وندير معاها شوية دردشة.  
24,عندي موعد مع الطبيب، ما نساوش نجيبو معانا شوية توابل.  
25,جا من الشغل مرهق، كندير شي قهوة ونرتاح شوية.  
26,عندك شي فكرة على كيفاش نزينو الدار؟  
27,الأكل المغربي ما كاين حتى فبلاد أخرى، خاصني ندير واحد العشاء.  
28,بغيت نمشي للسوق باش نشري المكونات ديال الحلوى.  
29,نتلاقاو فالمكتب على الجوج، وخا يكون جافيد هذ الصباح.  
30,شفت وحد المعرض فتراب، خاصني ندير عليه انستغرام.  
31,بغينا نخرجوا نلعبوا كرة فالعشية.  
32,اسمعت بمسابقة الكوك، خليت راسي فالمطبخ.  
33,عندك شي أغاني جديدة تحب تسمعها؟  
34,كونت تفرجت فشي برنامج طبخ زوين!  
35,شويا دالحامضة زينة مع جاج خزاري!  
36,خاصني نكتشف أماكن جديدة فالمغرب، حتّا فصحرا.  
37,البارح دوزنا ليلة رائعة مع العائلة.  
38,بغيت نعلّق شوية الديكور بمناسبة العيد.  
39,شفت فالمتجر جديد فني، كيفاش جا؟  
40,قريت رواية زوينة، حالياً عندي هوس بالقراءة.  
41,بغيت نطيب واحدة المأكولات البحرية لي شفت فالسوق.  
42,واش حبيتي نجرب نعمل فطائر باللوز؟  
43,درنا شوية الألعاب، وولادي كيشكيو بالحظ!  
44,نخرجو هذا الويكاند لشي بحر زوين؟  
45,الصحاب كيتلاقاو فالتراسات، كنعرفهم مزيان!  
46,واش حضرتم الأفلام الجدد في السينما؟  
47,في العطلة، كنعملو رحلات قصيرة للجبال.  
48,يوم السبت، عنا تكتف أوراق النباتات.  
49,بغيت نشوف عائلتي كاملين هاد العطلة، شنو رأيك؟  
50,ولي عندو سبيطارة فالبحر، واش غادي تمر؟  
51,فالإجتماع البارح كان عندنا موضوع شيق.  
52,الفطور اليوم متنوع، خديت خبز ومعه جبن وعسل.  
53,بغينا نأكلو شي طاجين بالخضرة اليوم.  
54,كل عام نحضروا لعيد الفطر و نحضرو الأكلات التقليدية.  
55,زيدي شوية ملح على الصلصة، عجبني التذوق ديال الأكل.  
56,بعد الغذاء، كنتمشى في الحي و نشوف الجيران.  
57,عندك ديك اللعبة الجديدة، رح نلعبو شوية!  
58,كنت باغي نجرب الشوكولاتة المغربية، الخبر أعجبني!  
59,دائماً كنفكر في مشاريع جديدة، خاصني مغامرة ديالي.  
60,نتلاقاو اليوم عند الجدة، غادي ديما نحبها.  
61,السفر لفاس كيكون خراجة زوينة، شنو رأيكم؟  
62,بغيت ندير حلويات مع ولادي، كنبغيهوم.  
63,الأعراس التقليدية فيها جو زوين، نحب الموسيقى والأكل.  
64,الأيام دازو، وغدي نرجعو لهواد باك.  
65,عندنا فطور اليوم مع الأصدقاء، نشربوا شاي مغربي.  
66,أصبح الناس كيعشقوا التأمل في الطبيعة.  
67,جبنا معانا البطاطا و الفلفل للصحور اليوم.  
68,الأحد غادي تجي العائلة، نكون واجدين ليهم.  
69,نشوف بزاف انستغرام ونشوفو قائمة الأطباق.  
70,ربيع الداخل غادي نخططو لرحلة.  
71,مع الأصدقاء، نحبنا ندير شوية موسيقى ونغنيو.  
72,تعلمي شنو كاين في الماركتينغ لنجاح الأعمال.  
73,أنا دائما كنختار الطبخ التقليدي فالمناسبات.  
74,كتخدمي فالمطبخ، عطيني طريقتك للعصير.  
75,دافا العشية غادي نكون زوينين كيف العادة.  
76,تجهيز العشاء دايما فيه حب و شغف.  
77,بغيت نشوف معاكم حصص الخياطة.  
78,حبيبي كيدير مفاجآت لي، خاصني نتفاجأ.  
79,الجو رائع، شنو نقدر نأكلو؟  
80,الحمد لله شفت العائلة مع الأصحاب.  
81,بغيت نديكوا في نزهه إلى ضواحي المدينة.  
82,كيف تقدر تصنعين الحلويات المغربية؟  
83,عطيني شوية بودرة للبن زعتر وأنا نكمل الخبز.  
84,سمعت أن هناك نشاط للأطفال في الحديقة.  
85,أنتي شفت مسلسل جديد حكم على أولادنا؟  
86,نحب النوم فالعطلة، دايماً كندير الحشيش.  
87,عندي ميعاد فالمصحة، واش أنا عاود؟  
88,بغيت نكتشف الثقافات الجديدة من سفرات.  
89,الكتابة هواية زوينة، غير تحتاجي الصبر.  
90,الأسواق فيها حيوية وتجارب خاصة.  
