ID,Text
1,كنشوفو الطقس اليوم زوين بزاف.
2,عندك شي فكرة على وين غادي نديرو العطلة الجاية؟
3,البحر هاد الصيف كان رائع.
4,فطور الصباح كان فيه خبز وزيتون.
5,عندي واحد الكتاب اللي باغي نقرى.
6,صاحبي جاب لي هدية جميلة.
7,فين كاين أقرب مقهى من هنا؟
8,دابا غادي نبداو نلعبو الكرة.
9,الأسواق فالصيف كتكون عامرة بالناس.
10,كتظن أن هاد الفيلم غادي يكون زوين؟
11,الطريق لهنا كان شوي معقد.
12,عندنا عرس فالعائلة هاد السيمانة.
13,الأكل المغربي معروف بشهيته.
14,بغيت شوية ديال الماء، ممكن؟ 
15,هاد الأغنية كتعاودني على ذكريات زوينة.
16,المكتبة فيها بزاف ديال الكتب المفيدة.
17,الأطفال كيلعبو فالحبوسة.
18,صباح الخير، كيف داير اليوم؟
19,المدينة القديمة فيها تاريخ كبير.
20,شفت شي صور من السفر ديالك، كانوا زوينين.
21,الليلة غادي نتفرجو على مباراة كرة القدم.
22,راها نضيفة هاد الحومة، خاصنا نحافظو عليها.
23,عندي موعد مع الطبيب غدا.
24,الشتاء كيجيني حزين بلا مطر.
25,الأسرة هي أهم حاجة فالحياة.
26,بغيت نسمع شي موسيقى جديدة.
27,فين كاين أقرب صيدلية؟
28,عندك شي وصفة مميزة تحبي تشاركيها؟
29,غادي نخرج مع الأصحاب للتمشي.
30,الدروس غادي تبدا من بعد العطلة.
31,أحب العطور المغربية، خصوصا المسك.
32,عندي شوية ديال الخبز، بغيت نشارك معاك.
33,الناس هنا كيعرفو يرحبو بالزوار.
34,حنا كنا نلعبو فهاد البلاصة من صغرنا.
35,الألوان ديال السوق كتجذب الزوار.
36,سمعت أن المطعم الجديد عندو أكل لذيذ.
37,عندي شغف كبير للتصوير.
38,العيالات هنا عندهم تقاليد زوينة.
39,بغينا نكتاشفو أماكن جديدة.
40,الموسم ديال الزيتون قرب، خاصنا نستعدو.
41,الأسئلة ديالك دائما مثيرة للاهتمام.
42,دابا غادي نشربو شوية ديال الأتاي.
43,المعلومات كتساعدنا نطور من راسنا.
44,القصص الشعبية كتعلمنا دروس قيمة.
45,عندنا جلسة عائلية فالعيد.
46,كل واحد عندو قصة خاصة به.
47,الأسواق الليلية كتكون زوينة.
48,الموسيقى كتعبر على مشاعرنا.
49,الصيف هو الوقت المثالي للسفر.
50,كتعجبني الأكلات التقليدية المغربية.
51,الصداقة حاجة غالية فالحياة.
52,فكرني نجيب معايا شي حلوى.
53,الزهر في كل مكان، كيدخل البهجة.
54,الجو هنا دافئ و مريح.
55,الذكريات كترجعنا لزمن مضى.
