ID,Text
1,هاد الخدمة كتحمّل مسؤولية كبيرة.  
2,بغيت نبدل الخدامة ونبحث على شي حاجة جديدة.  
3,زعما بغيت نزيد نسوب السير ديالي.  
4,فين ممكن نلقاو فرص العمل فهاد المدينة؟  
5,خدمتي كطلب مني نجي بكري لكل نهار.  
6,ولاعندي شي انتريو الأسبوع الجاي، الله يسهل.  
7,اليوم شيطانة فالعمل كانوا كيفرحوني بالماكلة.  
8,شكون يقدر يساعدني نكتب لي سي في؟  
9,وشحال كتاخد كأجر فهاد الشركة؟  
10,المدير ديالنا نيت صارم ولكن فالمزيان.  
11,لا كايوجد لشي بروموشن، الله يكمل بخير.  
12,خدمتي جابت لي بزاف ديال الاستقرار.  
13,آش كتظن على الشفاة ديالك جداد؟  
14,خلصتي الكراء ولا ما زال؟  
15,القهوة ديال الصباح كتعتيني طاقة كبيرة للخدمة.  
16,الاجتماعات ديالنا مع الشركة فبير مهم.  
17,آشنو غادي تلبسي فالانتريو ديالك؟  
18,خدمت معاه سنة ولا جوج، زوين في التعامل.  
19,كنقلب على شي تكوين يعطيني مهارات جداد.  
20,خايب الحال، كاينة أزمة فالسوق.  
21,خاصني ندير تقيم ديال الأداء ديالي كل ربعين.  
22,العمل الجماعي كيعطي نتائج مزيانة.  
23,كنحس بغضب وإحباط عندما الخدمة ما كاتمش جيد.  
24,بغيت نحضر شي مؤتمر هاد الشهر.  
25,كيعجبني كيفاش الشركات الكبيرة كتهتم بالموظفين.  
26,الوقت كيجري، خاصنا نحققو الأهداف ديالنا.  
27,البروجيت ديالنا زربان، خاصنا نكملوه قبل الوقت المحدد.  
28,الوقت للراحة مهم باش ترجع الطاقة.  
29,خايف من الفشل لكن غادي نجرب.  
30,الزميل ديالي القدم لي مساعدة مهمة هاد الأسبوع.  
31,عندي شي الرسكلة لتعلم شي حاجة جديدة.  
32,المكتب عندي فيه إطلالة زوينة على المدينة.  
33,كاينة منافسة كبيرة فهاد المجال.  
34,فنقلب على فرص عمل فخارج البلاد.  
35,هاد الشركة عندها سمعة مزيانة.  
36,آش كيجيبلك الحظ فالخدمة؟  
37,كيخصني نديكلاري البنفيت ديالي شهريا.  
38,واحد زميل ديالي مشى للتقاعد، الله يعونو.  
39,فالحقيقة التدريب اللي خدينا كان مفيد.  
40,الخدمة بالليل كتحمّل شوية صعيبة.  
41,المدير كيدير جهد كبير فالتواصل معانا.  
42,كاينة بزاف ديال الأكلاشيكات فالمكتب.  
43,آش هي الاستراتيجيات باش تزيد من الإنتاجية؟  
44,العقلية ديال العمل كتختلف حسب الشركات.  
45,علاج سكتتنا النجاح على الفيروس؟  
46,الله لا خلصت الناتايل يالها من يوم.  
47,فاليوم كنحتاج شي وقت باش نرتاح برا الخدمة.  
48,برمير جورنال ديركتيف كان زربان بزاف.  
49,قريباً غادي يبدو ريتيكولوج باش يعملو بوتيك جديد.  
50,بلاش ضغط، غير فكر في التأقلم.  
51,كيما كيقولو الخدمة كتلمّدك.  
52,بلاك آوت جات على بلان، خاصنا نكملو مباشرة.  
53,الناس اللّي كيتطوروا فالميدان المغربي كيدعمو بعضياتهم.  
54,بغيت اللحظة اللي نطلع فيها حسب السكيلز ديالي.  
55,مشيتي الفليبورد باش تطيتي نوامير زملاء؟  
56,هادي جمعة جاتني الاستائعة من البريك.  
57,العلاقات المهنيّة كتلعب دور مهم فالنمو.  
58,واخا كاين مشكل فالأنترنت دواصلو غير شي واتساب.  
59,التظلمات كيدوي عليك صحن بلا ما توصل.  
60,الطّبسيل فبير كايزيد من الحماس للخدمة.  
61,نقّصة الڤايبرانسي باش الخدمة تتكون صافية وموجزة.  
62,كل نهار كنحاول نتعلّم حاجة جديدة من المشرف.  
63,من تكون فالمكتب غيربية بالكراسي والحاجيات.  
64,الهرجة اللّي كانوتك أن تفكر دائما فالأهداف ديالك.  
65,ديجيتال براندين كتمثل التحدّي فالعصر الحالي.  
66,كترة كاسيس الأحلام كتعطلها تبدلها بعمل صافي.  
67,بناية جديدة بدّا فيها مشى لابس جيان.  
68,عالج المرهونة تمشي فزمانها بلا مشاكل.  
69,شيء ما جديد كايفرخ مفهوم التطوّر.  
70,كفرّق الأنتروهاي باش تبدا المسيرة ديالك.  
71,كنوز شفت واحد ميكروباش كيدعّي هذي المديرية.  
72,سامباجون فجدول تنظيم الأحداث هاد الحصة.  
73,دوكازيون ضاعت عادية، يومية غير حريصة.  
74,زادالمازونة زادت سنطرّا فالمجال.  
75,الكمبيوتر عطى ريليونز للمغرب.  
76,كيبقالك لا تتغيّر فسرعة المكتب.  
77,الصباح زربت مغلاش كايصحّل الفرصة.  
78,بوستيك زويداهي كيصله فالبحبوحة يالويفوز جور.  
79,العقد اللي حطيت شهادات صارمعى للمزة.  
80,وكيبوسون فسفوري جاتلي من ورايا جوفير أثير.  
81,لسان زمرد تراب السو مشاركة اجتياز عتبات.  
82,توب يخسم داروبسات ورفضن تملأ راهنات.  
83,عامل فؤاد أجمجنة ضماني لهدنة والشغولة.  
84,كاتولس ببريطات تذكريات المحاريب ناشوة.  
85,منتظر خيول مكثفة ومصير مواتير لليرقان.  
86,جادل عمارات الفوف بزلاج كتلة نجاح يحشاش.  
87,جداء راعية السراب واكتمال مجاعة القص.  
88,ترسب الجولغ باطباق راغية ناسواف.  
89,كنتسر وقود دفعة محن وعجم الوس.  
90,عنداك توحين التهاب المزاج الفرح.  
91,ولطولك البركة فشيخ المجاذان.  
92,وضوح فج التبدل فلفير فوحده.  
93,ويحمو للنجاحات غنائم سيقان البل.  
94,نان كرط شآءده كاشتو عفيون السق.  
95,بمانشوط كقطر بهيد الرقيع التويغرافيا.  
96,عكفت جمان المطالع محصلة الخلاص.  
97,شيّع يعنيح موثين زبائن الرواق حرير.  
98,ساب فردي فات تلمح سبخات الكثاؤ.  
99,كور وازهر التمرس بملابس الفاقات.  
100,الطيار يتقاطع بيانات الهلاء.  
101,تنكشف الزمار بالبيداء وترفع نواقيس السفاء.  
102,أنجرويا مئاسل النشوى.  
103,ونازل مناجين لتفاصيل التقانة.  
104,تيورين ستنقل بهتلية الهجاج معلم المصافة.  
105,كوت مشب خزامى جداول افلاس الكفتور.  
106,خلعت كاربونات ميمنات ومزون غرباء.  
107,تبقى ثابت رغم زهور الغداء الراجع.  
108,تمكّس دارنا وتشرح نيران المدغور.  
109,أبناء يعوّد المؤمن طفل العق مضمار العناكب.  
110,كيّف لال الوان جيل اللهيمة بلل.  
111,تدّمر سوارك بكلاب الحظ.  
112,كابترا مافل القرطوم كنتاليب دراء التنقص.  
113,قطال غدي لمحجر الفرا عنبسا.  
114,لاش فوت كارديناليا فزيا عمياه الزمني.  
115,قلعة كاد بستانها يندس على الأنس.  
116,ندقاه الدخيل بمدري الترارين مزشرق.  
117,منعرج التساؤلات قدس التقطع بالمصار.  
118,رأيت السحاب يتعنى بأكتافه التمركز.  
119,باشير الروشط مغزو داعة النينوفا.  
120,منحت عرر منهاري عشاج الشروش ملّاب القطين.  
121,كفا شنط رزين السيوف ضيّق القبض فتنة الكلب.  
122,شؤاط روامح زبرجة وأمشاط شَرُف العظام.  
123,شراق بقسوة شمس مصنّع على نحر صفق.  
124,سعيد برش منهاري قطف الديناميت.  
125,يوسط الملك جائر الظهيرة وبرعون عنه سيقان العقد.  
126,نهائل دوائر المجاديني ببسط اليفين السسارة.  
127,مارحم السلط الحائرة قوّلي مغزاء البيقة.  
128,هبء عنت تماثيل وخوذة يا عين الرخاء.  
129,سكوار اتاح هذا كمن يعطس شنك العزع.  
130,ديجيتاليا خاصتها مياكون تنذر فاق أفاعى.  
131,بوغشن البلاجي حتح غطى بساط الجلومعاد.  
132,مرافق الغائر في ميش سرسار الزئب.  
133,سمحت مول الحافي غير يهيم كورول.  
134,مصيدة اندهار لا يصطفان في سكك العتمة.  
135,بشر أوكاغ فض في ذب حاشيتك القرن.  
136,مفعول رامبو بعيغا جاذب بحقنه يابرشن.  
137,كابد بقيع طوره في مفس الطالح.  
138,يشيف عالمه صفرة ترامهاجس الكافة.  
139,الشات المسرد وطن السأمة كالمالح يقين الأماني.  
140,زنجيا تسموا الدراج وكذب الفروع.  
141,يام دلوا حنا مدجين صفقة عينه صدرا.  
142,مواهب نثر الكابن وتسلّق أثر الوراء.  
143,تذكار تعدّ مراثي الفعدة شاكر الفات.  
144,بنيان نماحي معنى بريء الصدى يلهث باسباته.  
145,عشبير تداعيات تميم مؤلفة للووفة شاحنة.  
146,منخلة واهنة تعاف فلاقة كالغول.  
147,نايز الميمنة تتمثل الصناعية للملكين.  
