ID,Text
1,كيف داير اليوم؟  
2,عافاك، جبد لي شي خبز من الفورن.  
3,فين كاين حنا، يا أخويا؟  
4,بغيت نشرب شي أتاي.  
5,الجو زوين بزاف اليوم.  
6,لا باس عليك، إن شاء الله؟  
7,هذي هي العيشة، يا خوي.  
8,بغيت ندير مشي في السوق.  
9,الناس هنا طيبين، صح؟  
10,كيعجبني المهرجان، خاصني نشارك فيه.  
11,واش كتشوف عفسة لونة هادي؟  
12,دير جهدك وماتحبطش.  
13,عندك لمغاربة واحد القلب الكبير.  
14,البنت ديالي غتدخل للمدرسة غدا.  
15,ديما كنبغي ندوز وقت مع العائلة.  
16,حنا مع بعضنا، غنكونو أقوياء.  
17,عندك شي خبر على الفلوس ديالي؟  
18,ماشي ساهل تلقى خدمة مزيانة.  
19,الطبيعة هنا زوينة وخضراء.  
20,واش كاين شي حاجة لذيذة في المطعم؟  
21,دبا كنجريو على الوقت، مابقيناش نلعبو.  
22,غادي ندير عشا ليا وللصحاب.  
23,فركة ديال الزعتر كتعجبني.  
24,عفاك، زيد شوية ملح فالوصفة.  
25,ڭول ليا، فين مشيتي البارح؟  
26,بغيت نمشي للمدينة القديمة.  
27,بنت الجيران طيبة بزاف.  
28,يا ربي نلقا شي حاجة جميلة.  
29,بغيت نروّح شوية فالبحر.  
30,غادي ناخد جولة فالسوق، عافاك.  
31,الرزاق عند الله، ما تخافش.  
32,هنا الناس كيعزوا الضياف.  
33,عندنا عرس فهاد السيمانا!  
34,الفرحة كاتكون فالعواشر.  
35,غدا غنخرّج مع صحابي.  
36,كوني مع الأسرة ديالك، هادي هي الحياة.  
37,فين غادي تمشي الصيف الجاي؟  
38,لكني مزيان تعزت راسك.  
39,خليو القهوة دابا باردة، اجي معايا.  
40,في الشتا، كنبغيو نلعبو فماء.  
41,داك الشي اللي كتحمق عليه، راه موجود.  
42,عاونيني مع التبولة، بغيت نطيب.  
43,البركة فالصحة، كون بصحة.  
44,عندك شي فكرة للويكند؟  
45,ما تسألنيش على الماضي، عيش الحالي.  
46,راهم كيتخلو علينا فالتجمعات.  
47,أخويا، راني مسافر لشي بلاد زوينة.  
48,خايف نكون ممل فالخدمة.  
49,حشومة، دزّي عليا فالعيد.  
50,ندير جولة فالأزقة القديمة.  
51,كل واحد عندو حكايتو.  
52,كولي طيب، رانية على الدار.  
53,ما تسيرش بحالك، كن احذر.  
54,راك عزيز عليا، ما تنسانيش.  
55,السعادة كاينة مع الأصدقاء.  
56,بلا ما تعطي داك الشي البوليرا، خليه!  
57,غنتظارك عند الباب.  
58,نخرجوا نشوفوا الشمس والغروب.  
59,السلام عليكم، كيديروا هاد الناس.
