ID,Text
1,"شلونك يا خويه، شفت الحلقة الجديدة من مسلسل ""الأسود الأبيض""؟  "
2,"موسيقى ""ماجد المهندس"" دايمًا تطربني، وش رأيك؟  "
3,"الله يا زين المجاملات بين المتسابقين في ""ذا فويس""!  "
4,"اليوم رايحين نشوف فيلم ""الفلوس"" بالجعبة!  "
5,"خلصت الموسم الأول من ""صراع العروش""، شنو رأيك بالنهاية؟  "
6,سمعت أغنية جديدة لبدر الشعلان، صراحة حلوة كلها إحساس.  
7,تدرين يمه، شنو رأيك ببطولة الكأس، العراق جاب العيد!  
8,اليوم في عرض لأفلام الرعب في السينما، حاضرين؟  
9,آخ منك يا ابن الناس، هالبرنامج مضحك لحد الضحك.  
10,"شايف ""وظيفة شاقة""؟ مرّحب بك يا أبو الهرجة.  "
11,"ياخي، صارلي أسبوعين ما شفت ""الراقصة والطبال""!  "
12,"اللعبة ""فورتنايت"" صارت تجيبها الشريحة الكبيرة!  "
13,هل متحمس لمباراة الزوراء والجوية؟ العود بيعلم!  
14,"مسلسل ""أهل الهوى"" صار حديث المدينة!  "
15,"أحب أغاني ""بسمة"" لأن تجي بوقت الضيق.  "
16,"برنمج ""الموسم"" دايمًا يجذبني بأفكاره الجديدة.  "
17,اليوم عندنا موال، ومتحمس للحضور.  
18,لاتنسى انك تجيب معاك شغلات للسهرة!  
19,وين شفت هالكنز يا عم؟ أكيد من صالح الجبوري.  
20,منو من الشباب صار يشجع مانشستر يونايتد؟  
21,ياريت نتجمع ونشوف الكلاسيكو سوة!  
22,تخيلي كيف كانت مباريات كأس الخليج بالسابق!  
23,"كلش حلوة أغنية ""شمس"" للفنانة، تعيش أحلى اللحظات.  "
24,"بالأحرى، شنو رأيك بمعلومات ""المسلسلات التركية"" الجديد؟  "
25,حبك للسيارات لابد يكون له تأثير على حياتك اليومية.  
26,"اليوم تجمعنا مع الأصدقاء على ""الفيسبوك"" ومانسينا.  "
27,"ازعلت من الحركة اللي صارت مع أبطال ""أفلام الأكشن""!  "
28,إذا شاركت في المسرحية أكيد رح تكون مبدع، لا تفوت الفرصة.  
29,"بس يشوفوني نقول لهم عن مباراة ""الخالدي"" و""الشباب"" هم كلهم يحضرون.  "
30,"سمعت ان ""أم كلثوم"" يتم سماعها بين الناس حتى اليوم!  "
31,متاكد انك تحب المسلسلات العربية أكثر من الأجنبية؟  
32,"دايمًا أردد أغنية ""الأصالة"" بطريق روحي.  "
33,ياخذوني الشباب للملعب مثل العادة ونحنا نجيب الشاي.  
34,"عندكم فكرة عن أغنية أبرار ""حلوة"" الجديدة، صاير لهم صدا جميلاً!  "
35,"سمعت إن ""مجهول"" فاز بجائزة أفضل ممثل السنة.  "
36,أحب أروح السينما يوم الخميس لأن فيها تخفيض.  
37,"لعبو ""البلاستيشن"" كملنا ليوم كامل ما حسينا فيه.  "
38,"وين مصمم ""الملابس"" الجديد، أكيد بتفاجئنا بالجديد!  "
39,يا سلام على الدراما العراقية، جابت لنا القصص الحقيقية.  
40,آها، شفت الدردشة عن الفريق الجيد الخاسر بالمباراة؟  
41,"الكوميديا في ""عشاق الدراما"" كانت على أصولها.  "
42,"ما تخلي أغنية ""مجرد صديق"" من قلبك، عرفت ليش؟  "
43,تذكر شلون كنا نلعب في الشارع بعد ما تخلص المباراة؟  
44,عملت لك توقيع وزينتها بألوان العلم العراقي!  
45,أحلى ذكريات مع الأقارب في الأعياد، زمان كان وبفرح.  
46,"أرغب أشوف ""محققو الغموض"" لأنه يجذب الانتباه.  "
47,"""الكلاسيكو"" دايمًا يكون دافع لمنافسات قوية، متحمسين!  "
48,حلوة الأغاني الريفية وخصوصًا بحفلات الصيف.  
49,"شفت فيلم ""سنة ثانية"" يحكي عن جدتي وذكرياتها الحلوة؟  "
50,متابع للبرامج الثقافية، شوف توفاق الفنان المحبوب!  
51,تعيّش الأيام الحلوة، سمعت الإمام الجديد يغني؟  
52,"شفتوا لفريق ""الراسينغ""، إن شاء الله يطلعون أشطر هذا الموسم!  "
53,"صراحة، تحبوا مسلسلات ""التشويق""، ولا الهايكنغ؟  "
54,"حفلة ""نانسي عجرم"" عادت من جديد، هل تحضرون؟  "
55,روحي انبارك بسيارة نجم نادي الميناء، فرح جماهيري خرافي.  
56,البرامج الكوميدية صايرة مسلية علينا بشكل مو طبيعي.  
57,عادي تروح نتفسح اليوم الجابية؟  
58,"الأفلام القديمة لها طعم خاص، شنو رايك ب""البنات""؟  "
59,"لعبنا بلاي ستيشن، حالنا حال أي شباب ""هالوقت"".  "
60,"ذكرتوني بمسلسل ""العشق الممنوع""، كان حماسي!  "
61,الجمهور بالملعب زاد من تشجيع الفريق، شلون يعني؟  
62,"كيفج ينشغلوا بي أغاني ""صابر الرباعي"" يتناسبوا مع خاطري.  "
63,"نرسم دوائر حول ""الجديدة""، وبعدين نحدد نص الدردشة!  "
64,"الحسرة على ""الموجات القديمة""، الدنيا تفوت على الشريط.  "
65,بغداد هذا الوكت عندها روح غير، ينتهي السهر.  
66,إذا قعدت تتفرج على الأفلام تقدر تحكي عن الحظ!  
67,"روح جرب مطعم ""التوابل"" يمدحوا فيه الكل.  "
68,قبل ان نبدأ، يلزم نستمع لمجموعة من الأغاني.  
69,"التفاعل الناس على ""الفيسبوك"" زاد، تساؤلات ومشاجرات!  "
70,"شعر شعبي يوصف لنا ""الهرج من المسلسلات التركية"".  "
71,شفت وين اللعبة راد تكون؟ أكيد بالمجمع الكبير.  
72,أغاني الراب في العراق بالمستقبل بتمثلنا بقوة!  
73,"اليوم بديتي تطلعين في منطقة ""البيضاء"" وتنورين المكان.  "
74,"""لهفة"" برنامج قدمت فيه أحلى الحلقات وأجواء خارجية.  "
75,"بانت لي ""اللوبوت"" في ""الفن الساخر"" وهي محاضرة جيدة.  "
76,توقعات المباريات راح تكون حرب بين كل الفرق!  
77,"هذول الفنانين صايرين يشوفوا بصوت ""التفاعل الاجتماعي"".  "
78,"بنت ومن أفتخر، وش غناها عن ""السماعي"".  "
79,"موسيقى ""البدوية"" تحرك الأحشاعر في قلوبنا.  "
80,ألعاب الفيديو سرت الشهرة بين الأجيال، بس تذكر الأرقام!  
81,"تصوير ""الحيوانات المعجزة"" صاير فني ويمتع الكل الأحد.  "
82,"ونستنى كل الجمعة، علشان نشوف ""الدراما العراقية"" تكون بأفضل حال.  "
83,"""مبايات""، تتفرج ويصيح الكل من الفرحة.  "
84,"أنا متأكد إن ""الكاندي"" راح يكون من أقوى اللاعبين!  "
85,"عزيزتي، إيش رأيك أغاني ""العشيق""!  "
86,نحن جماعة المساء، جلستنا رقص وحدنا في بهجة.  
87,كلما زاد الترحيب، زاد الضحك والمزاح.  
88,بنت أصغر عندها صوت رائع جدًا، الكل مبسوط.  
89,"يا حبيبي تدرين، ليش مخفين قصة ""أصالة"" اليوم؟  "
90,سنين من المسلسلات أعادت لنا ذاكرة الطفولة.  
91,"تعال شوفوا ""لالا لاند""، فيلم خراجي مبذول!  "
92,"شافين سصرية ""أم العود"" صايرة براءة وجمال.  "
93,شوقتنا لعيد المكسرات، والطبيعة الخلابة!  
94,الله يرحم دمع الأهل في طرف الملخص.  
95,نسيم الأمس دعا لتعزاه الأسهر والعهر.  
96,"كيفك بس، اشتاقيت لجو ""التنس"" بفترة الاحترار.  "
97,مع الأجيال الجديدة، صارن الألوان مختلفة أن تتغير.  
98,"يا جميلين، ودنا نتلمس ""الدراما في الربيع"".  "
99,صمت العالمة وصدى الأغاني تحرك القلب على نور الصفاء.  
100,"""القصص المثيرة"" صارت سلاسل زاهية!  "
101,"نتواصل مع ""الفنانة الشابة"" نحب نتحدث بخصوص ""الألبوم الجديد"".  "
102,چويش عيثر للأغنية الجديدة طلتها غريبة!  
103,"تسلميم لفرقة ""الشعبية""، واحد واحد يبدع لنا بموسيقاه.  "
104,"ذكرة ""غوغل"" وأخبار مسلسلات ""دراستنا"" بحسن الأفكار.  "
105,أحب أسمع صدى الجماهير، يشجع الطاقة الإيجابية.  
106,يا سندس، متى آخر مرة رحتي حفلة موسيقية؟  
107,كل واحد عنده نجم المفضل، مو شغلة الفرح.  
108,حبيبي عيدها باحتفال مفاجئ، الكل رقص على أغانيها.  
109,"تغيير ""الأفلام الممتعة"" صار علامة في حياتنا اليومية.  "
110,"عاجبني ""العرسية"" بمناسبة تربلته تفرجتهم.  "
111,"شفت ""عرب أيدول"" الزين، التعاون يلاقي التنسيق.  "
112,"ايش ممكن تطلعين في ""الصيفية""، أحتاج جواهر.  "
113,حاجاتك مع الأصدقاء تعيد الكل للروح.  
114,نحتاج لمشاركة الأحلام مع جماعة المبدعين!  
115,"شوقتنا للأغاني ""الوطنية"" وخاصة عندما تستعاد ذكرياتنا.  "
116,"كلما أحكي عن ""بالسريعة""، أكون تعبك وتنزل.  "
117,المسرح الشعبي يعكس تأثيره الفوري!  
118,دورت القصة بأعجابها، أحسها تمس القلب.  
119,احتفالات عام 2023 تزيد الطاقة في الناس.  
120,حدة الأغاني المتنوعة تفرغ معاجين الشباب القديم.  
121,يوم بحضنه مع العائلة العزيزة، العودة لذكريات زمان.  
122,"أجيالنا بين الفخر والحرية، نرفع أعلام ""الفن"".  "
123,وقت الاحتفالات، نأكل الحلويات ونتسلى مع العائلة.  
124,"هل سمعت عن عمل ""الدرامي"" الجاي، شكل محمس!  "
125,تواجد تراثنا بالعروض يعيد الذكريات من الماضي.  
126,"من أكثر الممتع هو احتفائي مع العائلة وسط ""الموسيقى"".  "
127,تعالي شوفوا بيع الآلات اللعبي، جديدة وحلوة!  
128,كيف كانت أيام المغامرات، لما كنا نشوف العروض  على التلفزيون.  
129,"استخدم ""سنابشات"" للمشاركة باللحظات، اليوم الجاي.  "
130,يوم واحد برئ وذكرياته ضحكونا الأفلام القديمة.  
131,لعبنا سوّة واستمتعنا بوقتنا الرائع، باسلوب حديث.  
132,"أحس باشعاع ""سبتوديو""، نسمع ونشوف الأفلام مع الأصدقاء.  "
133,المدن العريقة مثل بغداد في الوقت الحالي تحتاج أكثر دعم.  
134,"تحسين الأجل في الرحلات و""الفنون"" ينشي شعبية الأوطان.  "
135,"شفناك في ""البازار""، حركتنا لأجواء الفرح تضرب ميزتها.  "
136,كل واحد من العشاق يرغب بمشاهدة نفس الأفلام.  
137,أحب أن أشاهد أفلام الأبطال الخارقين وسرقات الأفكار!  
138,الضحك أثره أحيانًا ينقلب إلى دموع، فلنستمع لنكن صاينين.  
139,لما أتذكر الأفلام العراقية، أكون في حالة من السعادة.  
140,"توزيعات ""الفن"" تروي لنا قصص طويلة وجميلة.  "
141,أقلّد الفنانين في التعبير عن النجاح والفرحة.  
142,الجميع صار يجمع التواقيع ويتبادلوها في حفلاتهم.  
143,المسلسلات الكوميدية تخلينا نبتسم ونهتم بما يحدث.  
144,"دايمًا أكون مستعد لمشاهدة ""البث المباشر"" لحلقات الدراما.  "
145,"ذكريا تروّض الشوق في قلوبنا، تصنع ""العيش"" الأجمل.  "
146,"يوم العمل ""السمر""، قمة السعادة بين الطاقم!  "
147,"مسرحية باللغة ""العراقية الفصحى""، مثلما نحبها.  "
148,"اليوم، دعنا نتسلى ونشاهد ""بث الحوارات الدرامية"".  "
149,كم ستحصل من الضحكات ستوطد العلاقات مع الأشخاص!  
150,"صادفت طفلة تتغنى بأغاني ""الأفلام""، كانت سعادتها واضحة.  "
151,"كلما شفت ""الأغاني الحلوة"" تذكرنا بالزمن القديم.  "
152,"استمتعوا بلعب ""القرصنة"" مع الأسر، دقّوا الأبواب الحديثة!  "
153,زياراتنا للمهرجانات الشعبية تعيد لنا أوقات وأحلام.  
154,الفن الرفيع ينعش الجذع، ويعكس طابع جديد للأجيال.  
155,الفنانين الاحياء يحيوا الفضاءات بوجودهم.  
156,الفنانات الشابات بإبداعاتهم يثيروا الجديد والمختلف.  
157,"أسطورة ""أفلام الخيال"" دائمة تكشف لنا عن عوالم جديدة.  "
158,الفقرات الترفيهية تنضجنا بالمحبة والمودة للجميع.  
159,فرحة النجاحات تبرز الأساسيات المتألقة بفن الحكايات.  
160,تحركاتنا بين الأجواء المسلية تخلق وعيًا جديدا!  
161,"مهم إننا نتحدث عن ""الانتخابات"" بلغة الفن والموسيقى.  "
162,إحساس العطلة ينور قلوبنا، مع أغاني الأعياد.  
163,يومياً نبحث عن عرض مناسب لنجتمع بالناس، فهم أصحابنا.  
164,دايمًا يحضّروا الأغاني من التراث القديم للمسابقات.  
165,"خليتكم تسألوا عن الأغاني في مدينة ""الوسطى""!  "
166,"افرحي بالأغاني وأنتظار ""الوقت أفضل دائم""!  "
167,الواقع الافتراضي يجعلنا نشعر لاشياء جديدة وكأننا نعيش فيها.  
168,"التعاون بين الفرق الفنية يعزز من حضور الفن ""العراقي"".  "
169,الذكريات الجميلة تتركز في أذهاننا بسبب الأعمال المبدعة.  
170,الترتيبات للأفلام الجايز يجب أن تكون بمشاعرنا القريبة.  
171,الشغف يزيد مع الأغاني والموسيقى خلال الأوقات الممتعة.  
172,لازم نعتني بالتراث، لنكون حضاريين أكثر وأكبر!  
