ID,Text
1,أريد أروح أربيل أتونس هناك شوية.  
2,يا حبيبي السفرة للموصل تبرد القلب.  
3,سمعت قهوة أم كلثوم بالكرادة تجنن.  
4,السياحة بالبصرة ممتعة كلش.  
5,شينسمع، الحلة همينة صارت سياحية؟  
6,صعدت نهر دجلة ويايا صدق عجبني.  
7,بغداد القديمة عندها سحر خاص بيها.  
8,جنة عدنا أهل بالناصرية وينصحون نروح هناك.  
9,التجوال بالسليمانية جمع كل التجارب الحلوة.  
10,أول مرة أزور سامراء كانت تجربة مدهشة.  
11,ركبت الزورق بالفرات، أحلى رحلة.  
12,الليل بالبصرة ما ينمل أبداً.  
13,أريد أطلع سفرة لصحراء الأنبار وألتقط صور.  
14,مريت على شارع المتنبي، أجواء تخبل.  
15,الديوانية عدهم أكلات ترد الروح.  
16,أحب أزور الأهوار وأشوف الجواميس.  
17,حاولت أتعلم التزلج بإقليم كردستان، ممتع صراحة.  
18,المناظر الطبيعية بأربيل تسحر الواحد.  
19,مجرد أفكر بكركوك يصير عندي حماس.  
20,تريد نروح نشرب شاي بكافيهات بغداد القديمة؟  
21,كلش أحب المطبخ العراقي، ماكو مثله.  
22,ماشفت ولا مكان مثل بابل، أثارها عجيبة.  
23,مجرد الصبح زورنا السوق الشعبي بالسليمانية، كان حلو.  
24,سافرت كلش غيرت المفاهيم مالتنا.  
25,كلش انبسطت يوم زرنا مضيف شيخ العشيرة.  
26,الضيف العراقي معروف بحسن استقبالها.  
27,دائماً أحلى الذكريات من السفر العائلي بالعمارة.  
28,لدي وايه أصدقاء بأربيل دايماً يدعون للزيارات.  
29,مرات لازم نأخذ إجازة ونرتاح بالريف الجنوبي.  
30,أحلى فطور جبن وكاهي من بغداد.  
31,من تروح الموصل لازم تجرّب السمك المسقوف.  
32,هالايام سفرت للشمال سهلة وممتعة.  
33,بالإجازة زورنا الرقة، مناظرها كلش حلوة.  
34,تعلمت اطباق عراقية يم ماما لما كانت بسيطة وسهلة.  
35,أذكر لما زرنا حدائق الزوراء بالعطلة.  
36,أفضل القهوة العراقية ويا تمر بالشمس العصر.  
37,وايه أشياء ممكن نشوفها بمتحف بغداد.  
38,معتز بالشعر الشعبي العراقي، يروي تاريخنا.  
39,ساعة بالمول بس بتحس راح عمري.  
40,ألوان التوابل بواسطي رح تطيح حظك.  
41,أريد أشتري سجاد كردية، حلو كلش.  
42,الوادي ما بين نهر دجلة والفرات جنينة حقيقية.  
43,تريد تمشي بطرقات البصرة وقت المغرب؟  
44,السوق القديمة بالناصرية ترد الروح أصدقائي.  
45,زرنا الأثار بالأهوار، كان حلم وتحقق.  
46,ناخذ الكاميرا ونطلع نقضي يوم بالكوت.  
47,دوماً الحنين هو الألوان المنوعة بشاشة شارع الفلاحين.  
48,تحس نفسك برواية تاريخية لما تزور اربيل القلعة.  
49,عزيزي الوحيد بالصيف هو ظل النخيل بالبصرة.  
50,ماكو أحلى من كاست شاي باردة بشارع الرشيد.  
51,طعم الكبة الموصلية ما يروح من بالي.  
52,ألذ العمال هُم كانوا من محافظات البصرة بالصناعة.  
53,عودني أخوي الكبير على الشوي على الفرات.  
54,كل الأسواق بالناصرية تعرض تراث بلدنا.  
55,البالغرين العراقي أصلي يوم تستمتع بالمطالب.  
56,زرت حدائق البصرة واستمتعت بعروض الفولكلورية.  
57,قلعة اربيل ترحب بكل الناس وتفتح ذراعيها.  
58,أصبحت مغرم بثقافة عراقنا شينبزلي وتِرد الروح.  
59,"ما أثقل شيء إلا تقول ""الله كريم"" من قلبك.  "
60,نور المصابيح بأم قصر تحكي قصص بحر وسفر.  
61,دايماً زيارتي للسوق الشعبي تخليني أشعر بالفخر.  
62,زرنا ملعب الشعب وكلش استمتعنا بالمباراة.  
63,الليالي الطويلة بالعمارة وقفن لسان حالنا تتكلم.  
64,بعد وجبة الغذاء أخذتني خطواتي للعباسية.  
65,رأيت الكرم العشائري بالبصرة وتعلمت الكثير.  
66,سمعت كربلاء عندها موسيقى خاصة بيوم العاشوراء.  
67,من تمشي بالمنصور تحس الدنيا كلها عندك.  
68,الزيارة الربيعية للأهوار ترد الانفاس للحياة.  
69,هل تحب تقرأ كلكامش؟ هو لسه يدرسونه بجامعة بغداد.  
70,جميل أن تفكر بزيارة الحضر وتصوير ذكرياتك.  
71,يا ستار، أنسام المساء بالكوت.  
72,لليل العمارة عتابا تزن بالعقل كل سهرة.  
73,شعرية الضيافة العراقية موقف لا ينسى.  
74,بغداد دارالسلام خذتنا الحنين وأرجعنا بصور لا تنسى.  
75,نازل للسوق أشتري كم قطعة جلد بغدادية هدية.  
76,ليلة من ليالي الكهف بالنجف تحت النجوم.  
77,شعبنا يعتز بتاريخ العصور البابلية.  
78,ترا عراق الخير قادم بكل جمالاته.  
79,لذكرى سوق العطور تبقى بالروح لكل وجبه.  
80,همهمات من قصص جدتي تسافر بنا لأزمان أول.  
81,نمشي بشارع الكرادة وكأننا نكتشفه كل يوم.  
82,لو تزور الجنة الحضرية مراح تفقد المكان إلا بخاطرك.  
83,أنسام الوطن في ليل السماوة عطرها يسكر.  
84,ديوان العشيرة يستقبلنا بابتسامة وحنين.  
85,يمكت نروح نركب جمل بالصحراء، أحس المغامرة مشوقة.  
86,ساعة بالأهوار وياريت العمر يتوقف هناك.  
87,الزقاق البغدادي يحكي ألف قصة.  
88,يا ليتك تصدى العاصمة وأنت تشوف بساطة الناس.  
89,ما يفارقني طعم شاي المدينة القديمة كل صباح.  
90,أريد أشوف نخل العشار والنعيم يتحدث عنهم.  
91,أذكر أحمد يوم يقول فرصة متلك كلوب البصرة.  
92,زيارتنا للمدرسة القرآنية كان لها أثر كبير بالنفس.  
93,إمباير مدينة بابل الأثر تضمن للمكان شعور بالعظمة.  
94,لما نزلق فوق الثلوج بشمال العراق تكيف من جديد.  
95,أحيانًا خيال البردي يشتعل بمخيلاتنا كما بالشعر.  
96,الشرقاوية بالفضوة يوم عن يوم يتألقن بحبكة.  
97,ألذ جاي بالصيف هو جيب القهوة العراقية الباردة.  
98,طرافة اللحظات الصغيرة بسوق الشعبية تكفيها يوم.  
99,يا ريت نتعرف بالأقاليم الشمالية على طبيعتها وطيبة أهلها.  
100,المطبخ العراقي يعكس تنوع الثقافات والتاريخ الغني للبلد.  
