ID,Text
1,خذ راحتك وما يحتاج تستعجل.
2,أهلاً وسهلاً فيك، نتشرف بوجودك.
3,الصداقة في زمننا هذا صعبة، بس اللي كنت أعتبره صديق كان على طول معي.
4,مبروك الزواج، الله يوفقكم ويسعدكم.
5,هذا البيت مرتاح، تنجذب له العين.
6,لا تحاتي، كل شي بيكون زين.
7,أحب أروح للقهوة مع ربعي بعد الدوام.
8,أسواقنا حلوة مليانة أشياء تفتح النفس.
9,والدي يقول: “الظروف تتغير، بس الأصحاب هم الثابت.”
10,يا زين السهرات مع الأهل، يخلون القلب يفرح.
11,أقول لك، الأكلة هذي ذايبة في الفم، ما في أحلى منها.
12,بيتنا مفتوح لك، تعال في أي وقت.
13,أحلى شي يصير لما تجتمع العائلة حول الأكل.
14,لازم تسأل عن بعض، صداقات الحياة تحتاج جهد.
15,اليوم طلعت مع صديقاتي، وكان يوم ممتع.
16,عادت أيام الطفولة، لمن كنا نلعب في الحارة.
17,لا تتجاهل اللي تحبه، الحياة قصيرة.
18,أسأل الله إنه يسعدكم في حياتكم الزوجية.
19,ونسى الماضي وابدأ صفحة جديدة مع الرفاق.
20,هذا البنت فعلاً تملك قلب طيب.
21,يا ربي ويحفظ لنا صداقتنا دايم.
22,كل واحد مننا عنده قصة، ترويها الحياة.
23,إذا نويت تتزوج، اختر شريكة حياتك بعناية.
24,أحياناً جلسة مع الأصدقاء تشيل الهموم.
25,علمني أبي أكون صديق وفي، وما أترك الرفاق.
26,أحب الجمعة في كل أسبوع مع الحبايب.
27,ديما نقول: اللي تحبه عيونه تسهر لك.
28,والله لك وحشة، وينك مختفي؟
29,هذي أمي، لها دور كبير بحياتنا.
30,لازم نستمر في التواصل، الصداقة تحتاج جهد.
31,يمكن تتجاوز كل شي، بس الأهل هم الأساس.
32,أنا مع الأهل دايم أشعر بالراحة.
33,لا تنسى تخبرهم عن أخبارك، الأصدقاء يهتمون.
34,من شوفتك، الغم ينفرج والهم يزول.
35,العزيمة بتكون بعد يومين، نتمنى أنك تحضر.
36,ما أدري وش أقول عن الصداقة، لكن هي أغلى من الذهب.
37,لا تحاتي، تتعوض الأوقات الحلوة.
38,يوم العيد مع العائلة دائماً يكون مميز.
39,لما أحتاج نصيحة، أروح لأبرع صديق.
40,بالصداقة القوية كل شيء يهون.
41,النوايا الطيبة هي اللي توصلنا لقلوب الناس.
42,يمكن نختلف، بس صداقتنا تظل ثابتة.
43,هذا الشيء تحدي، بس الأصدقاء يساندون بعض.
44,أحب أسمع قصص الزواج، كل واحد له حكايته.
45,الصديق وقت الضيق، هذي مقولة صحيحة.
46,علمني أخوي أكون دائم مبتسم في وجه الناس.
