ID,Text
1,إزيك؟ عامل إيه النهاردة؟
2,
3,الحمد لله، كل شيء تمام معايا.
4,
5,أنا فكرت فيك جداً الفترة اللي فاتت.
6,
7,كل يوم بقول هكلمك، بس مش قادر.
8,
9,هي الأخبار عندك إيه؟
10,
11,شفت العيلة في العيد، كانت لمّة حلوة.
12,
13,أولادي طلعوا شقاوة شوية.
14,
15,بتجيب العيد مع ولادك إزاي؟
16,
17,عايزين نعمل قعدة مع بعض قريب.
18,
19,إنت مش نسيتنا، صح؟
20,
21,قلبي معاك في الزمن الصعب ده.
22,
23,سمعت إنك تعبت شوية، أخبرك إيه؟
24,
25,الحمد لله على السلامة، طمنيني عليك.
26,
27,نفسي نروح رحلة مع العيلة.
28,
29,الأكل اللي عملتيه المرة اللي فاتت كان جميل.
30,
31,إنتي محتاجة تريح شوي وتخرجي مع أصحابك.
32,
33,أحتاج أكلمك عن شوية مشاكل.
34,
35,إحنا في إجازة الأسبوع الجاي، عايزين نخرج.
36,
37,مين في العيلة عايش معاكم دلوقتي؟
38,
39,شفت صاحبك القديم؟ آخر مرة شفته كان بقاله زمان.
40,
41,ما تتأخريش على اللمة، كلنا هنجتمع.
42,
43,إحساسي إن الحياة بقت صعبة شوية.
44,
45,تعبانة شوية من الشغل، بحتاج أجازة.
46,
47,إنت فين من الزمن ده؟
48,
49,أصحابنا مش بيدخلوا في الموضوعات دي.
50,
51,عايزة أحضر فرح بنت عمي، أكيد هتكون ليلة حلوة.
52,
53,صحابك اتجوزوا؟ شفتيهم كيف؟
54,
55,إحنا عايزين نتقابل دايماً، مش بس في المناسبات.
56,
57,أخويا هيتجوز قريب، عايزين نجهز له.
58,
59,حمد لله، الإجازة كانت مفيدة.
60,
61,شفت مسلسل جديد، كان مليان إحساس.
62,
63,أخبار الشغل عندك إيه؟ 
64,
65,حاجة جديدة حصلت معاكم الفترة دي؟
66,
67,كلنا محتاجين ولادنا حوالينا.
68,
69,التكنولوجيا بقت تغير الحياة بزيادة.
70,
71,عندك فرص تروح أماكن مختلفة؟
72,
73,أنا عايز أشتري هدية لأمي، لكن مش عارف.
74,
75,الجو بقى حلو، عايزين نروح حديقة.
76,
77,إنتي على اتصال بأصحابك من المدرسة؟
78,
79,الصحبة الحلوة بتنقل الطاقة الإيجابية.
80,
81,الأولاد اتشوقوا للدراسة تاني.
82,
83,ابني عنده عيد ميلاد الأسبوع الجاي.
84,
85,الحياة مع الأسرة دايمًا أحلى.
86,
87,إيه رأيك نعمل شوية نشاطات في العيد؟
88,
89,قعدتنا النهاردة كانت ولا أروع.
90,
91,يمكن أروح رحلة الصيف الجاي.
92,
93,بتحبوا الأكل في المكان ده؟
94,
95,إحساسي إن الأصحاب سابونا شوية.
96,
97,فترة الدراسة دي بدأت تبقى ضاغطة.
98,
99,نعيد الذكريات مع الأصدقاء القدامى.
100,
101,أنتو دايمًا في قلبي، وزي العيلة.
102,
103,الأفراح بتدل على السعادة.
104,
105,الصحة أهم حاجة في الحياة.
106,
107,إيه رأيك نعمل قعدة دورية؟
108,
109,سؤال عن صحتك، طمنيني.
110,
111,أراك في اجتماع العائلة الجاي؟
112,
113,الحب هو اللي بيجمع بينا.
114,
115,الأطفال محتاجين نشاطاتهم، الحقهم بسرعة.
116,
117,لعبت شوية رياضة والحمد لله.
118,
119,عايز أتعلم رياضة جديدة.
120,
121,الفنرس لمّتنا السنة دي كانت مليانة ضحك.
122,
123,إيه رأيك نعمل عزايم في البيت الفترة الجاية؟
124,
125,الأخبار السعيدة بتخلي الحياة أفضل.
126,
127,نفسي نروح مكان هادئ ونجلس.
128,
129,الأهل هم أغلى ما نملك.
130,
131,كنا زمان نقضي الساعات مع بعض.
132,
133,شغل البيت بتطلب مجهود، صح؟
134,
135,أشوفك في عيد الحب الجاي ولا لأ؟
136,
137,أحتاج وقت لنفسي، الحياة متعبة.
138,
139,شتاء السنة دي كان صعب جداً.
140,
141,إنت تقابلت مع الناس في الجيران؟
142,
143,كل مره بنبقي هنا، بنحب بعض أكتر.
144,
145,بتبقى كده عائلتي لما نلتقي.
146,
147,إيه أهم حاجات في حياتك الفترة دي؟
148,
149,الشغل مقلق، بس الأصحاب بيدعموك.
150,
151,عايز أقول لك إنك في بالي.
152,
153,التواصل مهم في العلاقة.
154,
155,الأمومة مش سهلة، بس لازم نستمتع.
156,
157,تعبت شوية بس بحاول أكون قوية.
158,
159,في زحام الحياة بننسى الأمور البسيطة.
160,
161,الذكريات الحلوة بتخلي القلب فرحان.
162,
163,مش كل يوم بقدر أضحك كده!
164,
165,محتاجين نعمل شوية نشاطات اجتماعية.
166,
167,خروج الشهر ده خلاني أرتاح شوية.
168,
169,إيه رأيك نلتزم بالرياضة مع بعض؟
170,
171,عيد زواجكم خليه مميز، رتبوا حاجة.
172,
173,الإجازات مهمة للاسترخاء.
174,
175,يمكن بعد فترة، الأمور هتكون أسهل.
176,
177,الحياة بتعلمنا دروس كل يوم.
178,
179,بتفتكر اللمّات القديمة؟ كانت جميلة.
180,
181,إحنا دلوقتي في فترة حلوة مع بعض.
182,
183,الأسرة هي الحماية من زحمة الحياة.
184,
185,الأخبار بتقول إن في حملة تطوع قريب.
186,
187,كلمت أختي عن الفرصة الجديدة.
188,
189,الأصدقاء يشيلوا عنا أحمال الأيام الثقيلة.
190,
191,عايز أعمل خطة مع العيلة للعيد.
192,
193,الإجازات بتخلي الفكرة أحلى.
194,
195,فيه علاقات بنكملها طول العمر.
196,
197,عايزة أزوركم، سمعوني خباركم.
198,
199,تعبت من الروتين وأحتاج تغيير.
200,
201,أجواء المصيف بتكون مسلية.
202,
203,هل عرفت أخبار الأصدقاء؟ منهم مجابش.
204,
205,الجميع محتاج وقت يرتاح فيه.
206,
207,والله، الدنيا بتغير بسرعة.
208,
209,أحب أشارككم ذكرياتي معاكم.
210,
211,المناسبات مش بس للأكل، لازم نفرح.
212,
213,الفرحة بتتوزع مع ناسنا الحلوين.
214,
215,أحتاج سماع صوتك السعيد.
216,
217,هذا هو الوقت المناسب لأكون قريبة منكم.
218,
219,النجاح مع الأصدقاء مُفرح جداً.
220,
221,اللمة بتجمع الكل، مهما كانت المشاكل.
222,
223,مع بعض، الدنيا بتختلف.
224,
225,افصل شوية عن الضغوط وتواصل معنا.
226,
227,الحب الحقيقي يتخطى كل شيء.
228,
229,كل حاجة بتعتمد على علاقاتنا.
230,
231,تقطعوا المدّة البعيدة بينكم.
232,
233,كل لحظة مع الأهل أغلى من الذهب.
234,
235,أحب أشاركك كل تفاصيل حياتي الجديدة.
236,
237,إحنا عائلة واحدة، مهما حصل.
