ID,Text
1,أنا بشتغل مكتب، وعندي دوام من الصبح للمغرب.  
2,كيف بتحبي تشتغلي، عن بعد ولا بالمكتب؟  
3,المدير طلب مني أعمل تقرير عن المشروع.  
4,لازم أخلص الشغل قبل نهاية الأسبوع.  
5,هالاجتماع مهم، ما لازم نفوّته.  
6,يا ريتني كنت محامي لحتى أقدر أساعد الناس.  
7,الشغل اليوم كان كتير متعب، حاسس حالي مرهق.  
8,في فرصة عمل جديدة بمدينتنا، سمعت حدا عم يحكي عنها.  
9,الموظفين عندنا فريق شغل متماسك.  
10,مرة كنت أشتغل ع مشروع مع فريق من الخارج.  
11,لو كنت مكانك، بشتغل بشركة أكبر.  
12,الكادر عندنا كتير مبدع، وبساعدوا بعض.  
13,في زميل عندي بالقسم يفهم بالتسويق كتير.  
14,امتيازات العمل عندهم ممتازة.  
15,أسبوع الجاي عندي مقابلة عمل، شو بتنصحيني؟  
16,لما تكوني مع زملاءك بالعمل، بتحسي الحماس.  
17,الأجواء بالمكتب دايمًا بتكون لطيفة.  
18,الحمد لله على الوظيفة الجديدة يلي حصلت عليها.  
19,دايمًا عم أتعلم أشياء جديدة بالشغل.  
20,ممكن أخصص ساعة من وقتي لأسئلة المتدربين.  
21,المدير عنده وجهة نظر مختلفة، لازم نسمعه.  
22,العمل الجماعي بيخلي التقدم أسرع.  
23,شو في مواعيد للدورات التدريبية هالفترة؟  
24,لعبة البازار بتفتح أبواب جديدة مع الناس.  
25,أنا بحب أدير مشاريعي بنفسي.  
26,خلصت من الشغل بدري اليوم، عندي شغل تاني.  
27,نجاح المشروع كان نتيجة الجهود المشتركة.  
28,لك عبيت السيرة الذاتية صحيحة؟  
29,صعب أوازن بين العمل والدراسة.  
30,هلأ في منشورات عن الوظائف على الإنترنت.  
31,توظيف التقنيين صار ضروري بالشركات.  
32,كم ربحك بالشغل اليوم؟  
33,هالمكتب كتير مرتب، بحب التنظيم.  
34,امي بتقول الشغل مو عيب، بالعكس.  
35,بشتغل أربع أيام بالأسبوع، عشان عندي تعديل بالدراسة.  
36,عندي زميلة تحب العمل مع الأطفال كتير.  
37,هلأ صرنا نشتغل عن بعد بأكثر الأحيان.  
38,صارت الاجتماعات بالبنايات تبع الشركات أقل.  
39,الشغل بروح مع الصحبة الحلوة.  
40,بشتغل كمسوح ب شركة خدمات.  
41,كل ما تتعلمي، كل ما تقدري تطوري مهاراتك.  
42,لازم نراجع خطة العمل بالاجتماع الجاي.  
43,الضغط بالشغل ممكن يكون مفيد أحيانًا.  
44,أنا مركزة على المشاريع الطلابية بهالفترة.  
45,هل في مجال لتطوير مشروعك الخاص؟  
46,موظفين الطواري بالهلال الأحمر كتير مهمين.  
47,الشغل مع الشباب بيخلي الواحد يتحمس.  
48,كيف فينا نرفع مستوى الإنتاج؟  
49,مكتبنا بحاجه لدعم فني أكبر.  
50,لما بشتغل معاك، بلاقي أفكار جديدة.  
51,صرت كثير أحب مجال تصميم الجرافك.  
52,ليش ما تسجلي بدورات تطوير الذات؟  
53,في شغل جديد بالخدمات اللوجستية، سمعت عنه.  
54,أجواء العمل بتخلي الواحد يحب وظيفته.  
55,خلال هالسنة عم شوف تغييرات كبيرة بالمجال.  
56,المهارات التواصل بطلت خيار، صارت ضرورة.  
57,بتحبوا تكونوا مستشارين ولا تنفيذيين؟  
58,اهتماماتكو بالشغل بتكون دافعة للنجاح.  
59,مضطرين نرفع الرواتب مع زيادة أسعار المعيشة.  
60,لازم نكون جاهزين للضغوطات بالموسم.  
61,عندي فكرة لبحث جديد مرتبط بالشغل.  
62,النتايج بالأشهر الماضية كانت مبشرة.  
